source_id,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
604921748227889152,0.0064,0.1606
604921408926071424,0.0329,0.1047
604919583564564096,0.0399,0.168
604921374566324992,0.1033,0.2398
604921202767809664,0.0909,0.2686
604962984209526400,0.1405,0.311
604921821242942464,0.0103,0.174
604963052929005824,0.063,0.2371
604921816947364480,0.3169,0.47
604921271487102464,0.2139,0.692
604919789722800256,0.051,0.2221
604921374566323200,0.0795,0.1966
604922027401374080,0.2039,0.341
604921855602675840,0.135,0.2697
604921988746029312,0.0572,0.1561
604963087288739584,0.085,0.1783
604921305846836864,0.0494,0.1903
604919965817201152,0.0073,0.2328
604919789722799232,0.3735,0.4671
604922027401371904,0.1709,0.375
604921477645534976,0.0072,0.138
604922779020036992,0.2636,0.76
604922061761107584,0.0079,0.109
604922096120852864,0.097,0.2278
604921512005268608,0.006,0.1487
604922779020036736,0.047,0.239
604921305846834816,0.263,0.4481
604920030241180672,0.1052,0.2318
604921512005265664,0.3607,0.7861
604922233559793664,0.0826,0.3647
604922783315580288,0.013,0.154
604922229264428544,0.1819,0.4788
604922817675316096,0.0079,0.2028
604921512005266048,0.0069,0.055
604922267919526912,0.0389,0.1325
604969168962428672,0.0079,0.124
604964083721159936,0.104,0.329
604963362166649856,0.1139,0.3211
604921580724745984,0.0544,0.1674
604922130480588544,0.081,0.271
604922336638992128,0.115,0.2512
604922302279259008,0.312,0.452
604920275054845824,0.0549,0.159
604922267919525504,0.0459,0.1883
604922920754526336,0.0833,0.1621
604969168962427904,0.3009,0.4536
604922474077958144,0.0019,0.0897
604969237681908480,0.0109,0.233
604922886394970240,0.1889,0.4457
604922474077954944,0.0206,0.1648
604923023833743744,0.0049,0.2455
604922920754523520,0.0049,0.1788
604969203322163840,0.018,0.225
604923023833744896,0.1369,0.3374
604922920754523136,0.1732,0.6191
604969306401373952,0.1394,0.304
604969134602863744,0.291,0.5781
604969443840314496,0.14,0.283
604969306401373824,0.0269,0.1121
604969267746269696,0.0332,0.1563
604923848467467648,0.2833,0.7721
604923882827217024,0.0459,0.1596
604923333071376512,0.0399,0.161
604970131035099008,0.268,0.478
604920442558052992,0.4082,0.6708
604923947251366656,0.3289,0.5961
604920481213271296,0.1979,0.4141
604969546919528576,0.059,0.138
604970096675364352,0.008,0.1431
604969748782357888,0.2515,0.5221
604969748782357760,0.0662,0.1448
604923607949286912,0.0543,0.1728
604923607949288064,0.0374,0.1711
604969787437702784,0.2814,0.4411
604969714422619136,0.0329,0.091
604923470510326784,0.0679,0.2961
604969615639180416,0.0343,0.1345
604971093107738624,0.012,0.0967
604971093107922432,0.0119,0.1331
604971093107735040,0.0612,0.1781
604970508992220288,0.0039,0.0569
604971367985645184,0.0079,0.1513
604969954941058944,0.0286,0.159
604971402345381120,0.1079,0.2196
604947281809005312,0.1343,0.3588
604924531366686080,0.013,0.2001
604971471064858496,0.0844,0.1945
604970783870102656,0.051,0.147
604970921309068544,0.0079,0.1777
604971058748016384,0.0654,0.359
604970990028535936,0.2649,0.3841
604970990028536320,0.0314,0.176
604972463201969920,0.0104,0.1431
604972467497283200,0.0307,0.137
604948278241425152,0.0292,0.159
604973979325779328,0.0206,0.1411
604972360122759296,0.0544,0.139
604982809778600064,0.0089,0.1561
604984630844732544,0.0447,0.1261
598879798689514112,0.0049,0.1633
604892989126939648,0.3354,0.5041
604898903297606272,0.3842,0.6902
604899826720145024,0.0106,0.1331
604902923387005824,0.0756,0.2183
604902923387008000,0.0105,0.1495
604902923387005696,0.0749,0.1853
604903026466307840,0.163,0.2875
604903576222013952,0.0809,0.2561
604903576222015616,0.045,0.1243
604905534727086336,0.0474,0.182
604906290641339776,0.1889,0.6791
604906221921860224,0.0749,0.1501
604905534727082880,0.0044,0.0611
604905599150996736,0.3416,0.4278
604905019331023104,0.254,0.5573
604906355065249408,0.1983,0.4951
604906565519358464,0.0063,0.106
604905633510610048,0.059,0.1117
604906428080283776,0.0237,0.131
604918316549769728,0.0069,0.1431
604906771677660544,0.5039,0.831
604918316549769600,0.099,0.369
604906702958193152,0.23,0.5371
604906737317927296,0.038,0.382
604907046555568896,0.0264,0.2771
604907076619776640,0.0946,0.183
604907110979352576,0.0029,0.152
604907115275046784,0.0106,0.1331
604918522708192256,0.0906,0.1865
604918763226358656,0.0216,0.1771
604919209902956160,0.0377,0.1998
604919244262692352,0.012,0.1195
604919239966985984,0.5485,0.8116
604942505805554176,0.0167,0.0958
604920000176937600,0.071,0.1723
604928658830961280,0.0769,0.1931
604943880195096320,0.0469,0.1888
604944120713062784,0.1339,0.3557
604947518031910912,0.054,0.269
604947144370041728,0.0579,0.1446
604947724190083712,0.135,0.257
604947831564803840,0.0717,0.1164
604903576222015488,0.0289,0.167
604827125803512576,0.166,0.306
598678141384872704,0.039,0.0971
604895158086185856,0.0327,0.173
604907355793322112,0.0813,0.1791
604907454576711040,0.2209,0.4326
598905602853022976,0.437,0.635
598906290047773440,0.1039,0.2473
604896051439390848,0.03,0.1348
604896051439391104,0.006,0.16
604896635554924672,0.1885,0.3051
604896635554923008,0.3822,0.585
604896498115955968,0.1616,0.3231
604896876073077504,0.0476,0.2001
604896566835439872,0.078,0.38
604896150222841088,0.0932,0.322
598906771084100224,0.0053,0.1165
604908695823123072,0.0313,0.1855
604896837417607808,0.3409,0.543
604908146067299712,0.0066,0.151
598903953585548672,0.1054,0.2776
604897631987337600,0.0266,0.183
604908004332577152,0.0049,0.1304
604897558972113024,0.138,0.2895
604897631987335296,0.1039,0.3441
598907836235995008,0.013,0.113
604897833850019328,0.0429,0.0985
604897219670462976,0.1046,0.2151
604897288389928832,0.0056,0.2061
604897838145767168,0.0254,0.1405
604898009944444032,0.1986,0.3687
604909554816558208,9.0E-4,0.144
604897906865245440,0.0299,0.3701
604908347929907328,0.189,0.6461
604903198264917504,0.2793,0.4046
604909000764935936,0.0853,0.3554
598954118803488384,0.0892,0.1861
604912058781650176,0.035,0.2217
598955115235894784,0.0643,0.5328
604904022898639232,0.2186,0.5854
604898456621037824,0.1963,0.3575
598955729416267264,0.0597,0.2774
604912196220603264,0.429,0.6791
604912368019294976,0.0259,0.2108
598955149595631872,0.0,0.1028
604904297776551680,0.0137,0.181
604913162588927488,0.0667,0.176
604912406674856064,0.2743,0.663
598955802430663680,0.5432,0.8196
604910860486613632,0.1585,0.3351
604912745976557568,0.0414,0.1547
604960235430488960,0.012,0.1421
604917285757665920,0.1279,0.4091
604917285757662592,0.383,0.5951
604917281461920256,0.085,0.5989
598959822520052480,0.0039,0.1545
604917594995372544,0.0459,0.529
604964496038052352,0.2999,0.4527
604962365734255744,0.3769,0.741
604962331374512640,0.047,0.1141
604961163143414912,0.119,0.2721
604918041671892352,0.1959,0.3987
604918041671889792,0.4892,0.7106
604918076031622144,0.1899,0.576
604962640612163200,0.0079,0.1713
604918179110923520,0.044,0.336
604918213470564992,0.078,0.5854
604962743691561472,0.0775,0.2155
604919480485158784,0.083,1.089
604962193935568896,0.2029,0.8763
604965178937376512,0.0457,0.2311
604921271487287296,0.2444,0.732
604963740123794048,0.032,0.2015
604922164840316672,0.0067,0.098
604963980641948416,0.0579,0.2445
604964010706281856,0.0149,0.2015
604969031523465728,0.047,0.322
604964083721158656,0.2639,0.4391
604922886394972160,0.325,0.7541
604966866859978240,0.0049,0.1221
604969061587592064,0.0049,0.1411
604964118080894464,0.0763,0.2338
604964255519855232,0.0802,0.2521
604966454543134720,0.0109,0.1411
604922641581304576,0.015,0.1431
604967897652139776,0.1837,0.3523
604923367431112832,0.0039,0.0453
604967996435524224,0.1316,0.2956
604971088812177280,0.047,0.1244
604946972571361152,0.346,0.5865
604967725853431168,0.1194,0.4238
604967760213166336,0.082,0.2005
604979987984213632,0.1925,0.5616
604973635728426752,0.0067,0.049
604924776180388736,0.1236,0.3378
604968752349766912,0.018,0.1554
604980713834545664,0.0585,0.2061
604972330058312448,0.1483,0.3678
604974322923167488,0.1019,0.196
604981435389057408,0.0089,0.297
604973017253073536,0.07,0.2388
604974357282901504,0.2056,0.4224
604995419802460288,0.1127,0.239
604948862357149184,0.0779,0.2283
604975693017389952,0.0,0.0914
604975796096306432,0.0234,0.3171
604972944238043904,0.0079,0.1221
604995660320634880,0.0302,0.131
604973085972551296,0.0169,0.2931
604995522881670272,0.0384,0.1304
604975315059831168,0.215,0.519
604949034155646592,0.1666,0.376
604973184756492544,7.0E-4,0.211
604987070386114688,0.018,0.1516
604984871362889728,0.0987,0.204
604976315787962240,0.1117,0.2141
604987139105593344,0.0289,0.161
605001329677769088,0.0213,0.1493
605000401964512896,0.0573,0.2176
605000573763220224,7.0E-4,0.2293
604992327426113536,0.1282,0.2895
605001054799578240,0.1836,0.413
605000848641142400,0.2674,0.383
605000844345896960,0.1974,0.4039
604977587098272768,0.154,0.4441
604997309588066304,0.1825,0.3906
604997172149101312,0.1559,0.3238
605000779921664640,0.1482,0.269
607989355604856192,0.1005,0.3559
604988376056169088,0.0583,0.281
604996897271215104,0.0079,0.1235
604977106061961984,0.4317,0.729
604977209141167104,0.3146,0.57
604976453226906880,0.1229,0.2701
604988204257490176,0.027,0.274
607987427163771520,0.2277,0.5638
604982358806160896,0.0595,0.3125
604978858408693888,0.0063,0.12
598960436699728256,0.2153,0.3963
604890038485174912,0.047,0.11
598899796057231616,0.0089,0.084
598886052161851264,0.144,0.667
598885944787392000,0.1125,0.196
598885880363159296,0.0397,0.1243
604701953276603520,0.239,0.6727
598885738628962432,0.0169,0.3207
598884952650222336,0.1476,0.5691
598697142320464384,0.4749,0.7854
598880314085586432,0.1509,0.6948
598692675554477056,0.0085,0.1281
598687865190906496,0.0554,0.1793
598689411379091328,0.0169,0.2686
598689926775182208,0.0579,0.1485
598689754976482944,0.5453,0.7736
604703499464932736,0.0323,0.154
604705969071060224,0.3513,0.7198
604704770775147520,0.104,0.5321
604704633336193152,0.0579,0.2751
604704697760911616,0.1249,0.352
604892684184970880,0.093,0.2253
604893676321680128,0.0029,0.152
604711367844911232,0.437,0.5871
604711299125433472,0.0117,0.131
604898761562989184,0.1286,0.4055
604898972017070592,0.0487,0.1921
604899414398028928,0.2599,0.5678
604713017112350592,0.0675,0.35
604899831010539904,0.078,0.543
604899448757770624,0.3346,0.5519
