source_id,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
3426272918726984192,0.1249,0.2681
3426165578904396800,0.3523,0.4337
3426260652300638208,0.2119,0.4477
3426285082074203136,0.1694,0.294
3426285769268947968,0.1189,0.322
3426261648733028864,0.2793,0.5196
3426287963994340352,0.061,0.3565
3426257761783377920,,
3426283123569054720,0.1129,0.3748
3426268589400145920,0.078,0.429
3426267730406689280,0.2194,0.3832
3425505734487042048,0.091,0.2431
3425505700127302144,0.156,0.3241
3426264565013724672,0.286,0.5147
3426256941448865280,0.5859,0.78
3426269826350691840,,
3426269650255113728,,
3425506348666949632,0.1626,0.461
3426269688911727104,0.1095,0.3161
3426295042101945856,0.1239,0.297
3426294118685670400,0.1319,0.3211
3426297107982880768,0.0079,0.2277
3426290437896839168,,
3426297211062084608,0.222,0.4901
3425507826135544320,0.1193,0.3191
3426296180269934080,0.2084,0.35
3425514148328013312,,
3426303705052926976,0.1227,0.3306
3425538582396795904,0.1089,0.2595
3426291644784478720,0.0999,0.2408
3425537276726748160,0.281,0.3748
3426302532525101056,0.081,0.392
3425319569126885888,0.0373,0.297
