EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,id_N,RAJ2000_N,DEJ2000_N,gaia_id_Gao,RAJ2000_Gao,DEJ2000_Gao,PMem_Gao,dist_N_Gao,RAJ2000_N_Gao,DEJ2000_N_Gao,EPIC_id_Gonzalez,PMem_Gonzalez,RAJ2000_Gonzalez,DEJ2000_Gonzalez,binary,dist_N_Gao_Gonzalez,PMem_mean
211392234.0,KTWO211392234-C05,5.0,31.0,132.730065,11.520703,LC,-10.1,2.0,-5.3,1.7,,,,,14.777000000000001,0.02,14.152999999999999,0.01,14.57,0.32,14.0,0.03,13.929,0.07,,,13.009,0.021,12.75,0.023,12.642999999999999,0.024,14.120999999999999,gri,,,,508-049196,08505522+1131145,,1.0,0.0,0.898,206.308,172.905,149.791,6.0,1.0,13.0,,,0.001,132.730065,11.520703,159.0,132.73005,11.520668,5.988903814888891e+17,132.73002027228,11.52070434613,1.0,0.1676814658050695,132.73003513614,11.520686173065,211392234.0,0.9,132.73006,11.520703,0.0,0.10659268367873741,0.95
211392354.0,KTWO211392354-C05,5.0,31.0,132.72106499999998,11.522252,LC,-11.2,1.5,-3.1,1.8,,,,,13.967,0.06,13.404000000000002,0.03,13.765,0.32,13.253,0.02,13.192,0.11,,,12.251,0.021,12.014000000000001,0.023,11.923,0.021,13.364,gri,,,,508-049195,08505306+1131201,,1.0,0.0,0.946,159.222,147.892,140.083,6.0,1.0,13.0,,,0.001,132.72106499999998,11.522252,164.0,132.72106000000002,11.522206,5.988903471291511e+17,132.7210244276,11.52225079392,1.0,0.2043266418170485,132.72104221380002,11.52222839696,211392354.0,0.9,132.721068,11.522252,1.0,0.12447368391151649,0.95
211392455.0,KTWO211392455-C05,5.0,31.0,132.80973,11.523882,LC,,,,,,,,,,,,,,,,,,,,,16.102,0.078,15.262,0.09699999999999999,15.144,0.13,18.351,JHK,,,,,08511433+1131259,,0.8140000000000001,0.18600000000000003,0.779,4411.431,3433.719,2597.476,6.0,1.0,13.0,,,0.004,132.80973,11.523882,165.0,132.80968,11.523758,6.048943291567209e+17,132.8096520666,11.52385407546,0.992,0.3596331173889429,132.8096660333,11.523806037730001,211392455.0,0.9,132.809724,11.523882,0.0,0.3414557872719411,0.946
211392789.0,KTWO211392789-C18,18.0,27.0,132.89841,11.529765,LC,-9.4,2.8,-2.7,3.4,,,,,15.785,0.09,14.993,0.06,15.452,0.27,14.794,0.03,14.64,0.1,,,13.64,0.025,13.262,0.027000000000000003,13.148,0.032,14.883,gri,,,,508-049261,08513561+1131472,,1.0,0.0,0.8640000000000001,,,,6.0,1.0,13.0,,,0.002,132.89841,11.529765,178.0,132.89838999999998,11.529721,6.048915846733893e+17,132.89836023693002,11.5297634021,0.991,0.18526498654391313,132.898375118465,11.52974220105,211392789.0,0.9,132.89841,11.529765,1.0,0.14790282247292108,0.9455
211392859.0,KTWO211392859-C18,18.0,27.0,132.643245,11.530636999999999,LC,-10.0,3.0,-6.0,3.0,,,21.531999999999996,0.10300000000000001,,,,,19.044,0.009000000000000001,17.598,0.006,16.820999999999998,0.005,16.391,0.006999999999999999,15.17,0.034,14.585,0.057,14.283,0.066,17.488,gri,,,5972-301-5-0116-0278,,08503437+1131502,,0.996,0.004,0.6859999999999999,,,,6.0,1.0,13.0,,,0.003,132.643245,11.530636999999999,187.0,132.64323000000002,11.53051,5.989019950798717e+17,132.64318819033002,11.53061457458,0.998,0.40432416913639896,132.64320909516502,11.53056228729,211392859.0,0.9,132.643239,11.530636999999999,0.0,0.2889110491135751,0.9490000000000001
211393129.0,KTWO211393129-C05,5.0,31.0,132.926505,11.535303,LC,-8.3,1.5,-1.6,1.7,,,,,13.78,0.05,13.193,0.03,13.543,0.27,13.062999999999999,0.03,12.982000000000001,0.09,,,12.174000000000001,0.023,11.86,0.022000000000000002,11.802,0.021,13.15,gri,,,,508-049264,08514236+1132069,,0.9890000000000001,0.011000000000000001,0.95,,,,6.0,1.0,13.0,,,0.002,132.926505,11.535303,195.0,132.92646000000002,11.535266,6.048915503136447e+17,132.92644926526,11.53529923399,1.0,0.12549109819239146,132.92645463263,11.535282616995,211393129.0,0.9,132.926501,11.535303,0.0,0.17925784473524048,0.95
211393422.0,KTWO211393422-C18,18.0,27.0,132.8052,11.540296000000001,LC,,,,,,,,,,,,,,,,,,,,,15.113,0.042,14.395,0.051,14.196,0.055,17.537,JHK,,,,,08511324+1132250,,1.0,0.0,0.6859999999999999,1530.076,1385.535,1201.788,6.0,1.0,13.0,,,0.003,132.8052,11.540296000000001,208.0,132.80516,11.540195,6.048945353151525e+17,132.80513039256002,11.54026553329,0.953,0.27455663484641246,132.80514519628002,11.540230266645,211393422.0,0.9,132.805199,11.540296000000001,0.0,0.3033382984917554,0.9265
211394056.0,KTWO211394056-C18,18.0,27.0,132.858075,11.550008,LC,-9.5,1.0,-3.2,2.1,,,,,13.283,0.05,12.717,0.03,13.052999999999999,0.29,12.575,0.03,12.504000000000001,0.1,,,11.635,0.022000000000000002,11.402999999999999,0.02,11.3,0.02,12.669,gri,,,,508-049249,08512593+1133001,,1.0,0.0,0.948,93.71799999999999,84.499,76.658,6.0,1.0,13.0,,,0.001,132.858075,11.550008,228.0,132.85805,11.549984,6.048947071138327e+17,132.85802657447,11.550009523629999,1.0,0.12357033228529667,132.858038287235,11.549996761814999,211394056.0,0.9,132.858071,11.550008,0.0,0.12226870265533675,0.95
211394185.0,KTWO211394185-C18,18.0,27.0,132.839535,11.552024000000001,LC,-13.0,2.7,-3.8,3.2,,,,,16.727999999999998,0.06,15.665,0.02,16.317,0.25,15.299000000000001,0.04,15.092,0.14,,,13.834000000000001,0.026000000000000002,13.287,0.031,13.184000000000001,0.027999999999999997,15.459000000000001,gri,,,,508-049244,08512149+1133073,,1.0,0.0,0.757,465.89,412.49699999999996,355.67400000000004,6.0,1.0,13.0,,,0.001,132.839535,11.552024000000001,230.0,132.83953,11.551969,6.048947457693272e+17,132.83949493739,11.552022779660001,1.0,0.2297334988660189,132.83951246869498,11.55199588983,211394185.0,0.9,132.839537,11.552024000000001,0.0,0.1331432243741015,0.95
211394279.0,KTWO211394279-C18,18.0,27.0,132.76383,11.553339,LC,,,,,,,,,,,,,,,,,,,,,15.382,0.05,14.800999999999998,0.06,14.629000000000001,0.073,17.282,JHK,,,,,08510331+1133120,,0.9390000000000001,0.061,0.765,1881.846,1657.1470000000002,1445.115,6.0,1.0,13.0,,,0.003,132.76383,11.553339,235.0,132.76379,11.553261,,,,,,132.76379,11.553261,211394279.0,0.9,132.763827,11.553339,0.0,0.30964367570428697,0.9
