EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,ID_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,PMem_Reino,RAJ2000_Reino,DEJ2000_Reino,GaiaDR1_Reino,dist_GaiaC_Reino,RAJ2000_GaiaC_Reino,DEJ2000_GaiaC_Reino,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Reino_Douglas,PMem_mean
210923016.0,KTWO210923016-C13,13.0,24.0,64.8741,21.753885,LC,108.0,4.1,-39.1,5.1,,,,,15.517000000000001,0.12,14.014000000000001,0.1,14.76,0.05,13.427,0.08,12.366,0.48,,,10.106,0.021,9.442,0.02,9.222000000000001,0.018000000000000002,13.084000000000001,gri,,,,559-009271,04192976+2145141,,1.0,0.0,0.858,,,,24.0,4.0,84.0,,,0.0006861,64.8741,21.753885,4.952025566512333e+16,64.87410339674138,21.753883599402776,0.9,,,,,,64.87410339674138,21.753883599402776,64.874125,21.753883300000002,0.99,0.0,0.07224121457445756,0.9450000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.138389351545139e+16,59.80634314281168,20.428207412344648,0.9,,,,,,59.80634314281168,20.428207412344648,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4539148485548134e+17,67.00326388687628,21.61990347695107,0.9,0.8156,67.0032638868763,21.6199034769511,20842.0,1.1507104423757561e-10,67.00326388687628,21.619903476951087,67.003,21.620005600000002,0.99,0.0,0.9566249578082756,0.9018666666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.452931816430382e+17,66.57994902995172,21.468922573241546,0.9,,,,,,66.57994902995172,21.468922573241546,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3137782075943956e+18,66.81933122940974,17.241851312891928,0.9,,,,,,66.81933122940974,17.241851312891928,66.8193333,17.241852800000004,0.99,0.0,0.008907482503694096,0.9450000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.313751441358252e+18,66.57935908706207,17.050600365565842,0.9,,,,,,66.57935908706207,17.050600365565842,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.313842529024546e+18,65.85443320516596,16.777266364876553,0.9,0.9144,65.854433205166,16.7772663648766,20484.0,2.0386139815309896e-10,65.85443320516598,16.777266364876574,65.85416670000001,16.777327800000002,0.99,0.0,0.9448299820989206,0.9348000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3139477041827625e+18,66.09280567499178,17.07895547392605,0.9,0.9473,66.09279049600346,17.078958312378273,3.313947699887832e+18,0.053224702977814654,66.09279808549762,17.07895689315216,66.0925417,17.0790194,0.99,0.0,0.9105286806210421,0.9457666666666666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.313759000500605e+18,66.25102963001221,16.984897565115606,0.9,,,,,,66.25102963001221,16.984897565115606,66.25075,16.9849389,0.99,0.0,0.974190822551672,0.9450000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4711823350551898e+17,72.97230328519609,24.610122527141925,0.9,,,,,,72.97230328519609,24.610122527141925,,,,,,0.9
