_RAJ2000,_DEJ2000,Source,Cluster,RA_ICRS,DE_ICRS,Gmag,plx,e_plx,_RA.icrs,_DE.icrs,RAJ2000_epoch2000,DEJ2000_epoch2000
64.87461,21.75372,49520255665123328,Hyades  ,64.87461,21.75372,12.860999999999999,20.866,0.033,64.87461,21.75372,64.87410339674138,21.753883599402776
60.20378,18.19388,49729231594420096,Hyades  ,60.20378,18.19388,5.79,21.789,0.045,60.20378,18.19388,60.2031912442454,18.194000075729868
59.80696,20.42805,51383893515451392,Hyades  ,59.80696,20.42805,12.57,22.737,0.006,59.80696,20.42805,59.80634314281168,20.428207412344648
66.06127,21.73605,145373377272257664,Hyades  ,66.06127,21.73605,6.99,23.109,0.003,66.06127,21.73605,66.06072311639852,21.736245800197
67.00371,21.61972,145391484855481344,Hyades  ,67.00371,21.61972,5.643,19.968,0.067,67.00371,21.61972,67.00326388687628,21.61990347695107
65.8435,21.37893,145325548516513280,Hyades  ,65.8435,21.37893,8.639,19.878,0.027000000000000003,65.8435,21.37893,65.84304085636344,21.379098189219764
66.35475,22.1998,145484629809228544,Hyades  ,66.35475,22.1998,5.194,22.113000000000003,0.094,66.35475,22.1998,66.35423669910918,22.200001623281683
66.57755999999999,21.470270000000003,145293181643038336,Hyades  ,66.57755999999999,21.470270000000003,7.224,20.666999999999998,0.04,66.57755999999999,21.470270000000003,66.57707760539896,21.4704327067106
66.58044,21.46875,145293181643038208,Hyades  ,66.58044,21.46875,15.087,20.94,0.024,66.58044,21.46875,66.57994902995172,21.468922573241546
66.81981999999999,17.24172,3313778207594395392,Hyades  ,66.81981999999999,17.24172,12.144,21.732,0.022000000000000002,66.81981999999999,17.24172,66.81933122940974,17.241851312891928
66.57982,17.05048,3313751441358252160,Hyades  ,66.57982,17.05048,16.365,21.093000000000004,0.121,66.57982,17.05048,66.57935908706207,17.050600365565842
65.85491,16.77715,3313842529024545664,Hyades  ,65.85491,16.77715,5.564,20.52,0.059000000000000004,65.85491,16.77715,65.85443320516596,16.777266364876553
66.09325,17.07884,3313947704182762240,Hyades  ,66.09325,17.07884,6.8389999999999995,19.595,0.017,66.09325,17.07884,66.09280567499178,17.07895547392605
66.25144,16.98479,3313759000500605056,Hyades  ,66.25144,16.98479,9.968,18.257,0.02,66.25144,16.98479,66.25102963001221,16.984897565115606
66.02450999999999,17.44399,3313978112552491136,Hyades  ,66.02450999999999,17.44399,4.724,21.674,0.146,66.02450999999999,17.44399,66.02400512126442,17.444132532801788
74.93506,15.9166,3393284752392701312,Hyades  ,74.93506,15.9166,6.627000000000001,22.461,0.03,74.93506,15.9166,74.93467326743317,15.916732922854527
71.13217,23.94088,147022541634235392,Hyades  ,71.13217,23.94088,14.23,19.547,0.03,71.13217,23.94088,71.13176591192683,23.941085765331174
72.97270999999999,24.60989,147118233505518976,Hyades  ,72.97270999999999,24.60989,15.845,20.973000000000003,0.036000000000000004,72.97270999999999,24.60989,72.97230328519609,24.610122527141925
72.30451,24.80261,147182172683187712,Hyades  ,72.30451,24.80261,9.227,20.153,0.016,72.30451,24.80261,72.30410830333453,24.80284103988696
66.97162,20.98134,144512287869179136,Hyades  ,66.97162,20.98134,17.647000000000002,18.817,0.045,66.97162,20.98134,66.97119171970043,20.981500391349236
68.40541999999999,21.15065,144377799556207488,Hyades  ,68.40541999999999,21.15065,10.199,22.835,0.013999999999999999,68.40541999999999,21.15065,68.40491913804895,21.15085115550085
68.12299,20.73538,144338187075686016,Hyades  ,68.12299,20.73538,15.071,17.064,0.099,68.12299,20.73538,68.12263137497465,20.7355042253444
75.82986,3.84038,3238530414929634304,Hyades  ,75.82986,3.84038,15.589,21.598000000000003,0.035,75.82986,3.84038,75.8295283415797,3.8403232107862224
69.27192,20.718020000000003,3411274308810562688,Hyades  ,69.27192,20.718020000000003,14.024000000000001,17.408,0.044000000000000004,69.27192,20.718020000000003,69.27155652177949,20.71815213943044
53.209419999999994,23.69202,68001499939741440,Hyades  ,53.209419999999994,23.69202,8.635,23.765,0.022000000000000002,53.209419999999994,23.69202,53.20866208165197,23.69218718177597
54.13098000000001,22.78229,67696694700442624,Hyades  ,54.13098000000001,22.78229,12.979000000000001,25.758000000000003,0.09,54.13098000000001,22.78229,54.13018801001649,22.782484685781746
69.77606999999999,7.870989999999999,3292227607891547264,Hyades  ,69.77606999999999,7.870989999999999,5.308,20.305,0.08900000000000001,69.77606999999999,7.870989999999999,69.77566281603539,7.8709884069673155
70.43001,8.438080000000001,3292367795624174720,Hyades  ,70.43001,8.438080000000001,15.502,23.628,0.079,70.43001,8.438080000000001,70.42956870239817,8.438088527432491
70.42948,8.43925,3292367795624174592,Hyades  ,70.42948,8.43925,14.102,23.559,0.034,70.42948,8.43925,70.42901921236644,8.439259058627135
53.54486,22.0724,64552022725337856,Hyades  ,53.54486,22.0724,14.61,28.054000000000002,0.049,53.54486,22.0724,53.543991658952564,22.072587841450407
59.81286,6.22792,3273807936268126464,Hyades  ,59.81286,6.22792,14.549000000000001,18.430999999999997,0.046,59.81286,6.22792,59.81237794475178,6.2278801043982766
69.29168,12.10546,3306443434245315200,Hyades  ,69.29168,12.10546,14.828,19.555999999999997,0.046,69.29168,12.10546,69.29128810793625,12.105508938966073
68.96611,12.255510000000001,3306634646189021440,Hyades  ,68.96611,12.255510000000001,17.518,19.73,0.006999999999999999,68.96611,12.255510000000001,68.96570509762269,12.255563535063812
