K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
210359769,KTWO210359769-C04,4,STAR,33,58.7559900,12.4855830,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4020_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4072_GO4095_GO4104,127.380,2.150,-11.750,1.510,25.620,1.820,,,11.207,0.075,9.958,0.035,10.665,0.040,9.889,0.130,9.376,0.020,,,8.181,0.021,7.692,0.024,7.574,0.021,9.762,gri,18322,662-171-1,,513-006508,03550142+1229081,,2019-07-19 23:49:31,1.000,1.000e-4,1.000,88.972,87.924,85.984,16,1,53,,,19,0.007
210704853,KTWO210704853-C04,4,STAR,33,58.9882350,18.4323080,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4018_GO4020_GO4024_GO4032_GO4048_GO4054_GO4095_GO4097,13.300,5.900,-86.200,5.700,,,,,15.714,0.060,14.470,0.450,14.913,0.050,13.644,0.030,12.332,0.030,,,10.230,0.024,9.629,0.025,9.388,0.021,13.107,gri,,,,543-008052,03555715+1825564,,2019-07-19 21:46:10,1.000,0.000,0.800,364.568,337.348,319.391,13,4,44,,,19,0.001
210365286,KTWO210365286-C04,4,STAR,33,59.5599300,12.6280210,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4018_GO4020_GO4024_GO4026_GO4048_GO4095_GO4097,,,,,,,,,,,,,,,,,,,,,11.845,0.022,11.256,0.022,10.987,0.018,14.096,JHK,,,6003-301-4-0098-0205,514-006547,03581434+1237408,,2019-07-19 22:48:51,1.000,0.000,0.883,1102.866,994.644,860.363,16,2,54,,,19,0.004
210941195,KTWO210941195-C04,4,STAR,33,59.8091250,22.0438490,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4032_GO4048_GO4054_GO4060_GO4081_GO4095_GO4109,142.600,3.500,-46.400,7.900,,,,,14.536,0.030,13.066,0.050,13.805,0.050,12.436,0.040,13.174,0.900,,,9.538,0.025,8.914,0.024,8.704,0.017,13.363,gri,,,,561-008566,03591417+2202380,,2019-07-19 21:17:01,1.000,0.000,0.923,673.079,636.105,568.835,9,2,26,,,19,2.642e-4
210579563,KTWO210579563-C04,4,STAR,33,59.8126050,16.6644260,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4054_GO4095_GO4097,,,,,,,,,17.343,0.110,15.947,0.064,16.647,0.050,15.226,0.060,13.608,0.070,,,11.269,0.021,10.661,0.024,10.382,0.018,14.520,gri,,,,534-007561,03591499+1639520,,2019-07-19 23:28:38,1.000,0.000,0.791,592.292,535.782,506.947,12,1,37,,,19,0.004
211026112,KTWO211026112-C04,4,STAR,33,59.8609050,23.3854420,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4048_GO4095_GO4097,,,,,,,,,,,,,,,,,,,,,11.518,0.024,10.913,0.025,10.651,0.018,13.798,JHK,,,,567-008876,03592659+2323077,,2019-07-19 20:19:07,1.000,0.000,0.949,910.495,827.040,793.363,9,3,27,,,19,0.002
210976212,KTWO210976212-C04,4,STAR,33,59.9659650,22.6037360,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4048_GO4054_GO4060_GO4095_GO4097,108.000,3.100,-25.000,3.400,,,,,16.413,0.080,14.913,0.040,15.635,0.080,14.306,0.030,13.887,0.680,,,11.021,0.023,10.386,0.025,10.151,0.018,14.411,gri,,,,564-008724,03595180+2236135,,2019-07-19 22:36:44,1.000,0.000,0.935,199.340,164.347,133.282,9,3,27,,,19,6.710e-4
210769813,KTWO210769813-C04,4,STAR,33,60.0649650,19.4101320,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4095_GO4097,,,,,,,,,,,,,,,,,,,,,11.579,0.024,10.970,0.025,10.697,0.022,13.906,JHK,,,,548-008227,04001556+1924367,,2019-07-19 22:01:52,1.000,0.000,0.936,545.756,492.298,446.063,13,2,42,,,19,0.002
210419589,KTWO210419589-C04,4,STAR,33,60.1873200,13.9063190,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4018_GO4020_GO4024_GO4032_GO4048_GO4054_GO4095_GO4097,0.000,50.000,0.000,50.000,,,,,16.454,0.050,14.863,0.060,15.588,0.050,14.276,0.050,12.597,0.080,,,10.260,0.021,9.615,0.022,9.344,0.017,13.494,gri,,,,520-007079,04004493+1354227,,2019-07-19 22:52:39,1.000,0.000,0.850,1329.913,1286.210,1184.576,11,1,33,,,19,0.002
210772796,KTWO210772796-C04,4,STAR,33,60.9126600,19.4550080,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4020_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4072_GO4095_GO4104,119.020,2.800,-35.430,2.210,23.270,2.420,,,11.267,0.106,10.148,0.053,10.629,0.030,9.807,0.040,9.540,0.060,,,8.206,0.020,7.709,0.024,7.600,0.020,9.867,gri,18946,1258-768-1,,548-008408,04033902+1927180,,2019-07-19 22:02:56,1.000,0.000,1.000,42.111,40.414,41.204,8,1,21,,,19,0.007
