EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,RAJ2000_Rebull,DEJ2000_Rebull,EPIC_id_Rebull,PMem_Rebull,dist_GaiaC_Rebull,RAJ2000_GaiaC_Rebull,DEJ2000_GaiaC_Rebull,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Rebull_Douglas,RAJ2000_GaiaC_Rebull_Douglas,DEJ2000_GaiaC_Rebull_Douglas,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_GaiaC_Rebull_Douglas_CG,PMem_mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649230641233087e+17,130.60846,21.23079,0.9,,,,,,130.60846,21.23079,130.6083333,21.2308417,0.94,0.0,0.46411639134608496,130.60841776666666,21.230807233333334,130.6084630132,21.2307862489,6.64923064123309e+17,1.0,0.16958748642797658,0.9466666666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.651043461039227e+17,131.62025,22.3521,0.9,,,,,,131.62025,22.3521,131.620375,22.3521278,0.88,0.0,0.42805279784662464,131.62029166666665,22.35210926666667,,,,,,0.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649165701337183e+17,130.51351,21.17258,0.9,,,,,,130.51351,21.17258,130.513625,21.1726417,0.98,0.0,0.44539270145871723,130.51354833333332,21.172600566666667,,,,,,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649935316512172e+17,131.66651000000002,21.57479,0.9,,,,,,131.66651000000002,21.57479,131.6666667,21.574852800000002,0.91,0.0,0.5712389031376861,131.66656223333334,21.574810933333335,,,,,,0.905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649221020515935e+17,130.39923000000002,21.29356,0.9,,,,,,130.39923000000002,21.29356,130.399375,21.293627800000003,0.96,0.0,0.5441736898682882,130.39927833333334,21.2935826,130.3992308461,21.293563226099998,6.64922102051593e+17,0.9,0.17388413920340373,0.9199999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649013101137627e+17,130.88302,21.34923,0.9,,,,,,130.88302,21.34923,,,,,,130.88302,21.34923,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.589277364560776e+17,128.70528000000002,17.42998,0.9,,,,,,128.70528000000002,17.42998,128.70545829999998,17.4300194,0.96,0.0,0.6286184519950958,128.70533943333334,17.429993133333333,,,,,,0.9299999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58875028617474e+17,128.51787,16.97351,0.9,,,,,,128.51787,16.97351,128.51804170000003,16.9735417,0.85,0.0,0.602108258323107,128.51792723333332,16.973520566666668,,,,,,0.875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58931408652027e+17,128.7387,17.48775,0.9,,,,,,128.7387,17.48775,128.73883329999998,17.487788899999998,0.95,0.0,0.4786448933212655,128.73874443333332,17.487762966666665,,,,,,0.925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.633869776615503e+17,125.4596,19.48901,0.9,,,,,,125.4596,19.48901,,,,,,125.4596,19.48901,,,,,,0.9
