K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
212108286,KTWO212108286-C18,18,STAR,27,130.5327450,22.1847690,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062_GO18063,-40.000,3.000,-18.000,3.000,,,21.490,0.131,,,,,18.974,0.010,17.537,0.005,16.094,0.004,15.307,0.005,13.881,0.025,13.253,0.023,13.017,0.028,16.958,gri,,,6728-301-3-0144-0162,,08420785+2211051,,2018-10-17 13:45:49,1.000,0.000,0.807,,,,15,1,49,,,25,0.005
211914004,KTWO211914004-C05,5,STAR,31,130.5450300,18.9343740,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5033_GO5035_GO5040_GO5048_GO5086,-35.670,1.040,-13.220,0.610,7.230,0.910,,,8.094,0.017,7.903,0.013,,,,,,,,,7.443,0.018,7.391,0.018,7.353,0.020,7.949,BV,42705,1395-1113-1,,545-046992,08421080+1856037,,2019-03-07 15:22:53,1.000,0.000,1.000,560.246,409.984,293.102,14,1,45,,,36,0.002
211914004,KTWO211914004-C16,16,STAR,23,130.5450300,18.9343740,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16021_GO16031_GO16060,-35.670,1.040,-13.220,0.610,7.230,0.910,,,8.094,0.017,7.903,0.013,,,,,,,,,7.443,0.018,7.391,0.018,7.353,0.020,7.949,BV,42705,1395-1113-1,,545-046992,08421080+1856037,,2018-05-24 16:57:26,1.000,0.000,1.000,,,,8,4,24,,,36,0.002
211914004,KTWO211914004-C18,18,STAR,27,130.5450300,18.9343740,SC,KSC,,2018-05-13 00:45:12,2018-07-02 21:50:57,GO18011,-35.670,1.040,-13.220,0.610,7.230,0.910,,,8.094,0.017,7.903,0.013,,,,,,,,,7.443,0.018,7.391,0.018,7.353,0.020,7.949,BV,42705,1395-1113-1,,545-046992,08421080+1856037,,2018-10-17 12:58:25,1.000,1.000e-4,1.000,,,,14,1,45,,,36,0.002
211914004,KTWO211914004-C18,18,STAR,27,130.5450300,18.9343740,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18039_GO18049,-35.670,1.040,-13.220,0.610,7.230,0.910,,,8.094,0.017,7.903,0.013,,,,,,,,,7.443,0.018,7.391,0.018,7.353,0.020,7.949,BV,42705,1395-1113-1,,545-046992,08421080+1856037,,2018-10-17 18:11:58,1.000,1.000e-4,1.000,,,,14,1,45,,,36,0.002
211939350,KTWO211939350-C05,5,STAR,31,130.5546600,19.3146970,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-25.000,4.000,-8.000,4.000,,,23.454,0.472,,,,,21.235,0.040,19.745,0.017,17.942,0.008,16.926,0.010,15.344,0.042,14.699,0.058,14.306,0.074,18.930,gri,,,5071-301-5-0112-0414,,08421311+1918529,,2019-03-07 15:35:07,0.276,0.724,0.764,18405.539,15645.645,14044.027,14,1,45,,,36,0.002
211939350,KTWO211939350-C16,16,STAR,23,130.5546600,19.3146970,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16060,-25.000,4.000,-8.000,4.000,,,23.454,0.472,,,,,21.235,0.040,19.745,0.017,17.942,0.008,16.926,0.010,15.344,0.042,14.699,0.058,14.306,0.074,18.930,gri,,,5071-301-5-0112-0414,,08421311+1918529,,2018-05-24 15:23:49,0.762,0.238,0.787,6830.804,5462.502,4587.405,8,4,24,,,36,0.002
211939350,KTWO211939350-C18,18,STAR,27,130.5546600,19.3146970,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-25.000,4.000,-8.000,4.000,,,23.454,0.472,,,,,21.235,0.040,19.745,0.017,17.942,0.008,16.926,0.010,15.344,0.042,14.699,0.058,14.306,0.074,18.930,gri,,,5071-301-5-0112-0414,,08421311+1918529,,2018-10-17 13:04:33,0.288,0.712,0.703,14946.031,12092.401,9495.228,14,1,45,,,36,0.002
211876887,KTWO211876887-C16,16,STAR,23,130.5763800,18.3922330,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-32.000,3.000,-14.000,3.000,,,21.583,0.118,,,,,18.776,0.008,17.349,0.006,15.957,0.005,15.217,0.005,13.794,0.023,13.192,0.030,12.922,0.026,16.803,gri,,,5071-301-3-0110-0249,,08421833+1823320,,2018-05-24 15:19:34,1.000,4.000e-4,0.720,1296.958,1149.969,1031.349,8,3,23,,,11,0.001
211986473,KTWO211986473-C05,5,STAR,31,130.5838650,20.0365920,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5023_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5064_GO5096_GO5104,-35.200,1.000,-15.600,1.000,,,,,10.252,0.036,9.683,0.030,10.400,0.050,9.777,0.050,9.362,0.070,,,8.676,0.029,8.455,0.057,8.408,0.021,9.674,gri,,1398-70-1,,551-045147,08422012+2002117,,2019-03-07 15:57:09,1.000,0.000,1.000,,,,14,4,48,,,31,0.003
211986473,KTWO211986473-C18,18,STAR,27,130.5838650,20.0365920,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18003_GO18011_GO18023_GO18026_GO18032_GO18039_GO18049_GO18065,-35.200,1.000,-15.600,1.000,,,,,10.252,0.036,9.683,0.030,10.400,0.050,9.777,0.050,9.362,0.070,,,8.676,0.029,8.455,0.057,8.408,0.021,9.674,gri,,1398-70-1,,551-045147,08422012+2002117,,2018-10-17 13:20:22,1.000,0.000,1.000,,,,14,4,48,,,31,0.003
212085656,KTWO212085656-C05,5,STAR,31,130.5842250,21.7455440,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,-39.000,5.000,-11.000,5.000,,,23.605,0.547,,,,,21.487,0.045,19.886,0.019,18.042,0.009,17.016,0.011,15.449,0.048,14.611,0.062,14.490,0.085,19.075,gri,,,6597-301-2-0237-0277,,08422021+2144439,,2019-03-07 16:26:38,0.866,0.134,0.482,,,,15,1,49,,,25,0.004
212085656,KTWO212085656-C18,18,STAR,27,130.5842250,21.7455440,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-39.000,5.000,-11.000,5.000,,,23.605,0.547,,,,,21.487,0.045,19.886,0.019,18.042,0.009,17.016,0.011,15.449,0.048,14.611,0.062,14.490,0.085,19.075,gri,,,6597-301-2-0237-0277,,08422021+2144439,,2018-10-17 15:17:47,0.818,0.182,0.654,,,,15,1,49,,,25,0.004
211902826,KTWO211902826-C05,5,STAR,31,130.5918150,18.7682950,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-28.000,3.000,-14.000,3.000,,,22.988,0.298,,,,,20.615,0.022,19.085,0.011,17.434,0.007,16.509,0.009,14.949,0.037,14.371,0.046,14.003,0.056,18.388,gri,,,5061-301-4-0113-0302,,08422203+1846058,,2019-03-07 15:17:44,0.892,0.108,0.667,2800.890,2083.610,1722.439,14,1,45,,,36,0.004
211902826,KTWO211902826-C16,16,STAR,23,130.5918150,18.7682950,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-28.000,3.000,-14.000,3.000,,,22.988,0.298,,,,,20.615,0.022,19.085,0.011,17.434,0.007,16.509,0.009,14.949,0.037,14.371,0.046,14.003,0.056,18.388,gri,,,5061-301-4-0113-0302,,08422203+1846058,,2018-05-24 15:21:02,0.903,0.097,0.713,3960.438,3274.466,2739.214,8,4,24,,,36,0.004
211902826,KTWO211902826-C18,18,STAR,27,130.5918150,18.7682950,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-28.000,3.000,-14.000,3.000,,,22.988,0.298,,,,,20.615,0.022,19.085,0.011,17.434,0.007,16.509,0.009,14.949,0.037,14.371,0.046,14.003,0.056,18.388,gri,,,5061-301-4-0113-0302,,08422203+1846058,,2018-10-17 18:03:48,0.844,0.157,0.855,,,,14,1,45,,,36,0.004
211795051,KTWO211795051-C05,5,STAR,31,130.6168650,17.2468070,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5032_GO5048,-38.000,3.000,-6.000,3.000,,,21.329,0.097,,,,,18.908,0.009,17.511,0.006,16.116,0.005,15.365,0.006,13.965,0.030,13.373,0.034,13.113,0.025,16.954,gri,,,5112-301-4-0141-0381,,08422804+1714485,,2019-03-07 17:23:17,1.000,0.000,0.629,1363.143,1168.444,991.889,13,2,42,,,25,0.002
211795051,KTWO211795051-C18,18,STAR,27,130.6168650,17.2468070,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-38.000,3.000,-6.000,3.000,,,21.329,0.097,,,,,18.908,0.009,17.511,0.006,16.116,0.005,15.365,0.006,13.965,0.030,13.373,0.034,13.113,0.025,16.954,gri,,,5112-301-4-0141-0381,,08422804+1714485,,2018-10-17 17:42:12,1.000,3.000e-4,0.638,896.694,730.909,600.521,13,2,42,,,25,0.002
211940389,KTWO211940389-C05,5,STAR,31,130.6236750,19.3312840,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-31.000,3.000,-12.000,3.000,,,22.684,0.259,,,,,20.616,0.025,19.150,0.012,17.451,0.007,16.526,0.008,15.017,0.040,14.347,0.047,14.053,0.055,18.400,gri,,,5071-301-5-0112-0397,,08422968+1919526,,2019-03-07 15:35:29,0.895,0.105,0.511,2995.063,2356.220,1750.549,14,1,45,,,36,0.001
211940389,KTWO211940389-C16,16,STAR,23,130.6236750,19.3312840,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-31.000,3.000,-12.000,3.000,,,22.684,0.259,,,,,20.616,0.025,19.150,0.012,17.451,0.007,16.526,0.008,15.017,0.040,14.347,0.047,14.053,0.055,18.400,gri,,,5071-301-5-0112-0397,,08422968+1919526,,2018-05-24 17:08:08,0.854,0.146,0.884,,,,8,4,24,,,36,0.001
211940389,KTWO211940389-C18,18,STAR,27,130.6236750,19.3312840,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-31.000,3.000,-12.000,3.000,,,22.684,0.259,,,,,20.616,0.025,19.150,0.012,17.451,0.007,16.526,0.008,15.017,0.040,14.347,0.047,14.053,0.055,18.400,gri,,,5071-301-5-0112-0397,,08422968+1919526,,2018-10-17 13:04:54,0.875,0.125,0.705,4582.883,3576.526,2785.590,14,1,45,,,36,0.001
211982727,KTWO211982727-C05,5,STAR,31,130.6245300,19.9754750,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-37.000,3.000,-11.000,3.000,,,22.845,0.227,,,,,20.200,0.017,18.684,0.009,17.094,0.006,16.181,0.008,14.740,0.033,14.139,0.044,13.733,0.046,18.026,gri,,,5037-301-3-0119-0406,,08422988+1958317,,2019-03-07 15:55:32,1.000,0.000,0.498,,,,14,4,48,,,25,0.004
