Table 8
Solutions to Temperature Relations

Color	No. of	Range	a_0 +or- sigma	a_1 +or- sigma	a_2 +or- sigma	a_3 +or- sigma	sigma
Index	Points	(mag)	(%)
(R_C - H)^c,^d	22	[0.68 - 3.53]	9000 +or- 48	-4278 +or- 82	1292 +or- 40	-153.9 +or- 6.2	2.4
(R_C - K)	34	[-0.14 - 3.80]	9077 +or- 15	-4054 +or- 27	1133 +or- 14	-124.1 +or- 2.5	3.7
(R_C - K)^c	28	[0.73 - 3.80]	9075 +or- 49	-4046 +or- 76	1128 +or- 34	-123.1 +or- 4.9	3.9
(R_C - K)^d	27	[-0.14 - 3.80]	9087 +or- 15	-4059 +or- 27	1133 +or- 14	-123.8 +or- 2.5	2.5
(R_C - K)^c,^d	22	[0.73 - 3.80]	9137 +or- 50	-4131 +or- 78	1162 +or- 35	-127.5 +or- 5.0	2.3
(R_K - J)	62	[0.09 - 2.58]	10087 +or- 22	-7219 +or- 53	2903 +or- 42	-433.7 +or- 10.6	4.3
(R_K - J)^c	57	[0.58 - 2.58]	9876 +or- 58	-6752 +or- 128	2589 +or- 87	-368.1 +or- 18.9	3.9
(R_K - J)^d	59	[0.09 - 2.58]	10218 +or- 23	-7478 +or- 55	3060 +or- 43	-463.7 +or- 10.7	3.2
(R_K - J)^c,^d	55	[0.58 - 2.58]	10004 +or- 59	-7009 +or- 130	2748 +or- 88	-399.0 +or- 19.1	3.1
(R_K - H)	62	[0.07 - 3.17]	9695 +or- 21	-4791 +or- 43	1432 +or- 29	-175.0 +or- 6.0	3.5
(R_K - H)^c	57	[0.82 - 3.17]	8678 +or- 69	-2980 +or- 125	435 +or- 70	-4.3 +or- 12.4	2.9
(R_K - H)^d	57	[0.07 - 3.17]	9823 +or- 22	-5001 +or- 45	1543 +or- 30	-193.4 +or- 6.1	2.9
(R_K - H)^c,^d	54	[0.82 - 3.17]	8676 +or- 70	-2972 +or- 126	431 +or- 70	-3.8 +or- 12.5	2.6
