ID,Campaign,RAJ2000,DEJ2000,pmem,Teff,e_Teff,R,e_R,Lum_bol,e_Lum_bol,Lum_Kepler,e_Lum_Kepler
211091768,4.0,56.235,24.432601,0.95,5821,350,1.04,0.16,6.576198825828308e+32,2.0558393242097067e+32,2.904956257587468e+32,9.082184355720784e+31
211029232,4.0,57.14379,23.434788,0.95,5866,355,1.07,0.16,7.30400323278773e+32,2.233963884269558e+32,3.2387028055434755e+32,9.906591646674095e+31
211123901,4.0,56.66155500000001,24.959642,0.95,5974,271,1.11,0.15,8.554965766005336e+32,2.261227601493933e+32,3.776638750344661e+32,9.982927385293746e+31
211015348,4.0,57.485385,23.218624,0.93,5903,224,1.07,0.13,7.509845628738038e+32,1.80094801774036e+32,3.312970428887317e+32,7.945312802184919e+31
211060078,4.0,57.66696,23.933055,0.95,5852,175,1.0,0.07,6.276953618622791e+32,9.41167167656795e+31,2.7771194709907504e+32,4.164388106063979e+31
211087357,4.0,56.91852,24.364552,0.95,5736,303,0.95,0.1,5.1732500554266445e+32,1.0855356744808244e+32,2.296828411554873e+32,4.820322803688575e+31
211104722,4.0,57.29890500000001,24.636579,0.95,5914,373,1.08,0.16,7.692252212702179e+32,2.2963494074524307e+32,3.402506386764576e+32,1.01583993857278e+32
210996142,4.0,56.696085,22.914563,0.95,5757,392,0.98,0.15,5.6196448984902585e+32,1.6824558589955102e+32,2.4925029170558224e+32,7.463190652366745e+31
211046315,4.0,57.36975,23.712208,0.95,5315,165,0.84,0.06,2.891569768029581e+32,4.130892778701229e+31,1.295943305954509e+32,1.8516658606534972e+31
211113345,4.0,56.057985,24.779386,0.95,5555,178,0.87,0.06,3.751683466370028e+32,5.027501488867535e+31,1.6679695720401334e+32,2.235539626186685e+31
211071351,4.0,55.7985,24.114632,0.95,3072,98,0.19,0.04,7.113412487127211e+29,3.126344725064622e+29,2.8422162118613484e+29,1.2492150155593944e+29
