RAJ2000,DEJ2000,probability_DANCe,EPIC
289.152303037,-17.4896977108,0.0309727332632411,219116695.0
289.702010552,-15.3751443399,0.104737720500374,219921917.0
288.282831073,-16.3605835523,0.0857812537543942,219591874.0
288.439194919,-15.748093716,0.130357853606366,219808486.0
289.102711241791,-15.5623420890079,0.00011742593542971,
289.17061576,-15.1710477279,0.104106737479835,219976654.0
288.564200216,-15.2540888124,0.433327212291923,219954989.0
289.332669781,-16.1273288729,0.760983879473019,219677923.0
290.046509355,-15.7339658312,0.974024418529861,219813010.0
289.103252899,-17.1771022971,0.997973839506693,219256928.0
289.397579321,-16.9994705488,0.953569958451577,219333882.0
287.707551965,-17.0296674796,0.956477050921417,219320849.0
289.205734689,-16.1028363518,0.809726680860904,219686767.0
289.294535234,-16.5756041257,0.839851736766694,219509101.0
289.090447364,-16.2980851399,0.890547205500787,219615117.0
289.093050533,-16.4640765699,0.951250467348827,219552514.0
288.657963574,-15.3066455511,0.547771817406192,219940830.0
289.522344527,-15.3061724307,0.457885052805594,219940952.0
288.658949828,-15.9827008258,7.31398649523752e-296,229228368.0
289.50704394,-15.832171767,2.48028319982464e-235,
288.765300756,-16.0613990437,2.89702465731901e-296,229228367.0
289.297131619,-16.0522854997,0.203211637617126,219704882.0
289.134638297,-16.1929538901,0.559383931473744,219653977.0
288.963741269,-16.2997385648,0.512964071137054,219614490.0
289.684405357,-15.8987792817,9.00499898799465e-296,
289.11068673,-16.2484522298,0.597573544619908,219633753.0
289.057213198,-16.3369018942,2.60136456571071e-295,229228366.0
289.046661166,-16.3634692856,0.635992653070439,219590752.0
289.540766954,-16.2728696879,0.474186268433006,219624547.0
289.40343935,-16.3339880404,3.25139333254892e-295,229228365.0
289.649639764,-16.3583331337,1.6178976385315e-297,
289.248919754,-16.5224466517,6.3485448013117e-295,229228338.0
289.742589802,-16.8059720653,5.3404912218753e-296,
288.218618236,-16.2430986699,1.46429841226724e-295,
288.610497152,-16.1094780121,0.502615253322234,219684426.0
289.122511366,-16.4966851352,0.139124261812123,219539914.0
288.829048618,-16.6567941101,0.510892495963071,219476447.0
288.743339121,-16.8358369847,0.0675720805226006,219403055.0
288.450746175,-16.8350528363,0.56171385325146,219403368.0
288.89075029,-16.8803353816,3.49308265011414e-295,
289.264295056,-17.0538226045,0.447461998885178,219310397.0
289.18732572,-17.2854070199,0.684895119865814,219208969.0
288.22001173,-17.0294971935,0.666507005965374,219320914.0
288.39705717,-14.9822918573,0.957272278521144,220022036.0
288.543699335,-15.2968421984,0.989157618823037,219943462.0
288.461358129,-15.3715572941,0.977304268696984,219922905.0
288.577309916,-15.3760271445,0.852736918497113,219921653.0
288.504235645,-15.4846174968,0.988845629769347,219890186.0
289.479391896,-15.0439818615,0.989649680336041,220007832.0
289.510145247,-15.1810031056,0.9364758429888,219974119.0
289.604584431,-15.4669627449,0.867911492606176,219895402.0
288.976450549,-15.2528172068,0.937585304412118,219955334.0
289.001110399,-15.2681017775,0.779812978666694,219951217.0
289.128656399,-15.5601187468,0.986437951364156,219867488.0
288.815329381,-15.5752605533,0.971608337188763,219862841.0
288.788557843,-15.8733596317,0.935486469398789,219766926.0
289.582452516,-15.6355198991,0.967353075276763,219844369.0
289.365253116,-15.8045733808,0.979202731142248,219789839.0
288.874245331,-15.8513294718,0.738742766825605,219774323.0
288.901113464,-15.9628038379,0.947045280148537,219736350.0
288.839235845,-16.0029698299,0.98258694413672,219722212.0
288.750542854,-16.097698599,0.991395775849655,219688645.0
289.232241603,-16.0560904568,0.998198538214321,219703587.0
289.261897077,-16.0879437416,0.974153362427927,219692101.0
289.102571382,-16.0927301724,0.995340217603081,219690421.0
289.196897683,-16.069240745,0.981412650364736,219698970.0
289.16897021,-16.1252804806,0.96077746821603,219678694.0
288.909076935,-16.1856500273,0.990954796145954,219656722.0
289.03604506,-16.1874502032,0.86740057593402,219655998.0
289.108677343,-16.1843736607,0.939676710135252,219657205.0
289.076580461,-16.2118060371,0.989245206080428,219647105.0
288.993396516,-16.2571728531,0.928731667570915,219630458.0
290.256524179,-15.4330021941,0.970052846770137,219905283.0
289.864367482,-15.7104238031,0.845619525313854,219820535.0
289.461480308,-16.1113131485,0.991663906868826,219683737.0
289.826172802,-15.9212346661,0.821692260987808,219750642.0
289.801545038,-16.1782758292,0.978320494783451,219659424.0
289.630012539,-16.2450671462,0.948022371216792,219634967.0
289.707809644,-16.2545515601,0.983602275970094,219631486.0
289.266391994,-16.1352567782,0.951599817462315,219675090.0
289.23625074,-16.2073389271,0.951945210750623,219648746.0
289.372545248,-16.1993737923,0.98263574352665,219651610.0
289.349305096,-16.2135718566,0.778800869236709,219646472.0
289.184080237,-16.2061920038,0.947936027702593,219649169.0
289.185010753,-16.2594095746,0.991412679927735,219629635.0
289.18315197,-16.2927910565,0.992619225371408,219616992.0
289.041703261,-16.312010619,0.936231874700196,219609927.0
289.139126711,-16.3393340154,0.939931820043895,219599730.0
289.194297378,-16.3224628688,0.976153976662209,219605951.0
289.137396454,-16.3590364553,0.993242754612014,219592407.0
289.173774191,-16.3643194818,0.92277792823854,219590415.0
289.153334863,-16.3842431765,0.883621375205439,219582840.0
289.134542159,-16.4180553517,0.759374284139208,219570023.0
289.55636006,-16.2471472236,0.962290620424652,219634222.0
289.50665588,-16.3834675375,0.839255443990503,219583146.0
289.249697045,-16.4215560055,0.986488711968295,219568666.0
289.2695511,-16.4385419799,0.979457873518997,219562274.0
289.953361469,-16.1463281528,0.975786648771491,219671042.0
289.983828452,-16.1610723547,0.954100781671721,219665690.0
289.502293219,-16.600471312,0.96624049683992,219499220.0
289.460254374,-16.6239111852,0.968200620848575,219489683.0
289.522357546,-16.7788630652,0.992690165410008,219426848.0
289.592436346,-16.7897976822,0.976919649026955,219422386.0
290.128322905,-16.5685295727,0.964243917270873,219511917.0
289.895566843,-16.7979961823,0.923886075398338,219419008.0
288.433536292,-15.9354011064,0.991523883395391,219745741.0
288.314225392,-16.2700925887,0.927607729747884,219625582.0
288.383965768,-16.2866893141,0.991285234859176,219619241.0
288.379554159,-16.3111508268,0.978303264963199,219610232.0
288.532381618,-16.3257968515,0.978016317904488,219604743.0
288.617348684,-16.3339843555,0.991325235893438,219601739.0
288.549846604,-16.3608123786,0.938773521181428,219591752.0
288.752134356,-16.2401405422,0.99972656930272,219636808.0
288.668728622,-16.3095608594,0.990431017126831,219610822.0
288.814200516,-16.3310178372,0.952530923035183,219602826.0
288.88677332,-16.3441391704,0.923951782252215,219597943.0
288.479036686,-16.4820675064,0.968720879752436,219545563.0
288.157752285,-16.4677250807,0.9950169460397,219551103.0
288.430599671,-16.8197373671,0.999260348857513,219409830.0
287.847121101,-17.1569327547,0.974584736988286,219265672.0
288.937982649,-16.3877123536,0.99994352013676,219581534.0
288.889764886,-16.4269055391,0.930060925983452,219566703.0
289.024084461,-16.4896870138,0.994831088505586,219542557.0
289.024566864,-16.4967047825,0.994221491399848,219539917.0
288.883327421,-16.5763550114,0.98843217998929,
288.897211067,-16.5699361402,0.988878286638411,219511354.0
289.270086336,-16.6146075189,0.955273181202239,219493488.0
289.207323848,-16.6493851644,0.977287940174276,219479319.0
289.021809102,-16.8822619682,0.999938815836899,219383739.0
288.641714309,-16.6915510156,0.98808441434166,219462497.0
288.69087331,-16.6979252555,0.982793638704978,219459916.0
288.555415905,-16.9683117295,0.983295106264344,219347353.0
288.833747696,-17.08438948,0.922439576808145,219297228.0
288.802491713,-17.0867123491,0.968575571263751,219296218.0
289.371722943,-16.7465763036,0.992401451394242,219440051.0
289.391797362,-16.8716091705,0.931043962485358,219388192.0
289.379186317,-16.9544386995,0.993289777935545,219353203.0
289.362752533,-17.0631210253,0.988087556895474,219306354.0
288.710108433,-17.2821137472,0.980417162247748,219210446.0
289.1530426,-17.219488698,0.81182385789177,219238231.0
289.007101152,-17.2657663337,0.99324645983746,219217706.0
288.40590332,-17.1239524092,0.922461559552263,219280168.0
288.68263046,-17.6618961531,0.994410962828966,219037489.0
289.432104135,-17.3299970473,0.97196459826996,219189038.0
