ampl_rec,amplitude,cstart,cstop,duration_d,ed_inj,ed_rec,ed_rec_err,istart,istop,peak_time,total_n_valid_data_points,tstart,tstop
0.16191060055642037,0.2191287495850214,140881,140889,0.026979268737866442,555.8231573810128,548.6285947260532,1.4399919080439614,3,10,2987.6441745939087,3643.0,2987.6423587676472,2987.805816095497
0.15064375292919063,0.24442472675986915,143476,143485,0.026676158996695825,587.6994844789324,581.0479687748835,1.5893731993805165,2445,2453,3040.665427292973,3643.0,3040.662712726851,3040.846597213793
,0.17241578501901003,,,0.03045845291753208,449.452415519698,,,,,3064.870932039557,,,
,0.09885631248893856,,,0.00025984364710823635,2.4210024624263184e-12,,,,,3067.4752315951814,,,
0.04631812632554877,0.28498900671944555,140886,140896,0.026688626979002025,383.26676374168215,382.60535869598203,2.3757684246412447,8,17,2987.7517504688294,3643.0,2987.744519538719,2987.9488411422208
,0.038125133893504956,,,0.0030883041377497253,47.077375804614924,,,,,3038.3330226810135,,,
,0.005182200799838794,,,0.032405663282207973,11.055867390087347,,,,,3065.7814372445646,,,
,0.04529545646182785,,,0.01425503901765959,110.85023682864656,,,,,3067.915882829013,,,
0.24119568004185732,0.3902809363245039,143286,143298,0.029103360461536817,846.9190244782196,837.4109796600063,1.4835893135993075,2270,2282,3036.794948303386,3643.0,3036.7807120063517,3037.025890869292
0.13172465121637078,0.20937515060807313,144686,144692,0.019537411307211254,398.8723596415896,390.5854081840148,1.2938577190212335,3528,3533,3065.3870118479676,3643.0,3065.3850835708145,3065.5076748487336
,0.3611042222698529,,,0.009469922879413506,380.35397782151745,,,,,2987.9655629747936,,,
,0.022115562754523414,,,0.004736432896523666,5.126927329084669,,,,,3066.7555009198545,,,
0.03328453433359413,0.27643787818413135,144698,144702,0.010067342505058698,133.34558758255798,132.87393334886505,1.3946287612741572,3539,3543,3065.6334102440032,3643.0,3065.630266140157,3065.7119937749085
,0.06567207175546448,,,0.007950885377206889,51.59750400395275,,,,,2987.6234321633124,,,
,0.2017644941362262,,,0.002118686857621535,1.9071286378232997,,,,,3052.8858849453263,,,
,0.05533820777387393,,,0.021737135605288806,70.14426658149819,,,,,3066.7429707452,,,
0.1763851761499744,0.37434713578837914,140883,140893,0.026151054472325394,659.9671907834658,661.6715409826713,1.58507360761298,5,14,2987.6943357870664,3643.0,2987.683223077751,2987.8875446966194
,0.4788751952683765,,,0.0179510650125197,535.833051308245,,,,,3010.1085361692208,,,
,0.4097683921304655,,,0.006848850271676941,82.72496357832468,,,,,3065.2478332708333,,,
,0.20389422774963264,,,0.012359966693985144,144.9672884980807,,,,,3067.010621635285,,,
,0.4785493371866911,,,0.0035766444823557837,54.71661281904583,,,,,2987.938637451924,,,
,0.14522383511971354,,,0.025839361095414327,377.28787664432576,,,,,3011.239977316476,,,
,0.25292394284068764,,,0.0023678598617496304,2.114778140997298,,,,,3065.4899507996156,,,
,0.2273061885006056,,,0.002213943449580618,29.756700232481943,,,,,3067.4021872454177,,,
0.16234804918053491,0.38012207763246536,144773,144783,0.026633697692520455,886.9944220216585,871.2168771452809,1.9690430771793455,3597,3606,3067.1668735294243,3643.0,3067.162658914851,3067.3669780458076
,0.3150614792336313,,,0.03288767744391604,698.6402581788676,,,,,2988.150529621035,,,
,0.1735702802174481,,,0.015234442957133556,130.20696644431573,,,,,3005.8337517117548,,,
,0.14770257638695808,,,0.002760853692534457,0.30574192156521857,,,,,3065.4800443359763,,,
,0.39751609593466797,,,0.02520876409419755,355.2103060015946,,,,,2988.0057719489214,,,
,0.44106179857327055,,,0.007259691478283428,377.503615887435,,,,,3002.942884448064,,,
,0.40612045260528445,,,0.006301948361797144,418.3480270148028,,,,,3065.567158798892,,,
,0.25572014256292536,,,0.0184483132087412,383.7445866759901,,,,,3067.504793823335,,,
0.0685958489930587,0.1900768001380692,141449,141457,0.023379458464246865,334.7493221475281,322.124072437978,2.1005293016774957,534,541,2999.2563698744707,3643.0,2999.2477461851377,2999.411201306102
0.06741576053159726,0.2881842869296828,144660,144668,0.01850886996650897,333.0029477662602,331.0786348392655,1.6463586103616659,3504,3511,3064.8585077790763,3643.0,3064.853854651483,3065.0173096157523
,0.41849789510076524,,,0.02587116547192412,935.3979601045697,,,,,2987.6385893888196,,,
,0.43910350411970533,,,0.014058878812401487,554.8559707380083,,,,,3066.463593134735,,,
