EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,2MASS_id_SF,RAJ2000_SF,DEJ2000_SF,DANCe_id_Bouy,RAJ2000_Bouy,DEJ2000_Bouy,PMem_Bouy,dist_SF_Bouy,RAJ2000_SF_Bouy,DEJ2000_SF_Bouy,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_SF_Bouy_GaiaC,RAJ2000_SF_Bouy_GaiaC,DEJ2000_SF_Bouy_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_SF_Bouy_GaiaC_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,phot_g_mean_flux_Gaia,phot_g_mean_flux_error_Gaia,phot_g_mean_mag_Gaia,phot_bp_mean_flux_Gaia,phot_bp_mean_flux_error_Gaia,phot_bp_mean_mag_Gaia,phot_rp_mean_flux_Gaia,phot_rp_mean_flux_error_Gaia,phot_rp_mean_mag_Gaia,bp_rp_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,e_bp_min_rp_val_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,e_Jmag_2MASS,e_Hmag_2MASS,e_Kmag_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,gmag_PS1,e_gmag_PS1,gKmag_PS1,e_gKmag_PS1,gFlags_PS1,rmag_PS1,e_rmag_PS1,rKmag_PS1,e_rKmag_PS1,rFlags_PS1,imag_PS1,e_imag_PS1,iKmag_PS1,e_iKmag_PS1,iFlags_PS1,zmag_PS1,e_zmag_PS1,zKmag_PS1,e_zKmag_PS1,zFlags_PS1,ymag_PS1,e_ymag_PS1,yKmag_PS1,e_yKmag_PS1,yFlags_PS1,angDist_PS1,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,Teff_StarHorse,e_Teff_StarHorse
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060706152402100.0,91.775643,24.036143,60706162402101.0,91.775682,24.036146,0.87,0.1286797511447578,91.7756625,24.036144500000002,,,,,,91.7756625,24.036144499999995,,,,,,0.87,91.7756664178529,24.036156127103897,0.003,0.003,90.0,3.4261758138073897e+18,91.77567840907,0.114,24.03614239704,0.1021,1.6193,0.1344,2.544,0.19399999999999998,-3.1889999999999996,0.162,False,4189.15,12.3937,16.63305,1740.83,18.7671,17.249496,3879.85,30.9025,15.789883999999999,1.4596129999999998,,,0.0,4557.08,0.13,0.066,,,0.09034,06070615+2402100,91.775657,24.036120999999998,0.08,0.06,0.0,14.681,14.106,14.072000000000001,0.027999999999999997,0.033,0.042,AAA,222.0,0.0,2450821.6855,0.09160399999999999,1.3684091775661392e+17,91.77567984,24.03614141,0.005,0.004,90.0,503636096.0,60.0,56065.44553241,5.0,45.0,17.6122,0.0109,17.7096,0.0169,115000.0,16.6474,0.008,16.6975,0.0057,115000.0,16.2289,0.0029,16.2512,0.0047,115000.0,16.0409,0.0056,16.0627,0.0056,115000.0,15.9146,0.0012,16.01,0.0034,115000.0,0.12125899999999999,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060707042405252.0,91.779359,24.090385,60707052405253.0,91.779364,24.090357,0.76,0.1021305970171925,91.7793615,24.090370999999998,,,,,,91.7793615,24.090370999999998,91.77937177618,24.090344241870003,3.4261767801785144e+18,0.9,0.1020778446619876,0.8300000000000001,91.77936309133051,24.090354315246802,0.002,0.001,90.0,3.4261767801785144e+18,91.77937177618,0.0579,24.090344241870003,0.0539,1.1465,0.0601,1.841,0.10800000000000001,-2.34,0.091,False,12401.5,15.1812,15.454676000000001,5666.99,26.6662,15.968008,9717.96,23.1951,14.792982,1.1750260000000001,,,0.0,4923.5,,,0.89,0.419,0.11127999999999999,06070704+2405252,91.77936700000001,24.090359,0.08,0.06,0.0,13.995,13.581,13.412,0.027000000000000003,0.031,0.033,AAA,222.0,0.0,2450821.6854,0.097222,1.36900917793709e+17,91.77937116,24.09034489,0.001,0.001,90.0,503635968.0,60.0,56098.69097222,5.0,44.0,16.0861,0.0049,16.1392,0.0024,115000.0,15.4554,0.0028,15.4874,0.0021,115000.0,15.1564,0.0014,15.2095,0.0009,115000.0,15.0685,0.0022,15.1091,0.0042,115000.0,14.967,0.0063,15.0383,0.0164,115000.0,0.149824,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060721992404359.2,91.841637,24.076603,60721992404359.0,91.841639,24.07664,0.85,0.13336210964211906,91.841638,24.076621499999998,,,,,,91.841638,24.076621499999998,,,,,,0.85,91.8416320304388,24.0766370898416,0.001,0.001,90.0,3.426177291284416e+18,91.84163100374,0.048,24.07662893045,0.0434,0.0635,0.054000000000000006,-0.218,0.087,-1.895,0.073,False,8982.63,5.89834,15.804856,3640.27,24.8263,16.448555,8171.25,18.2788,14.981198999999998,1.4673559999999999,,,0.0,4329.25,0.359,0.17300000000000001,,,0.123806,06072199+2404359,91.841635,24.07666,0.08,0.06,0.0,13.869000000000002,13.38,13.192,0.024,0.034,0.03,AAA,222.0,0.0,2450821.6854,0.20530500000000002,1.3689091841626253e+17,91.84163081,24.0766299,0.005,0.004,90.0,503635968.0,60.0,55871.15056713,5.0,58.0,16.6564,0.0049,16.7756,0.0042,115000.0,15.8299,0.0024,16.0016,0.0111,115000.0,15.4094,0.0031,15.4582,0.0039,115000.0,15.1687,0.0014,15.2076,0.0182,115000.0,14.9866,0.0077,15.0834,0.01,115000.0,0.098954,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060728422416426.0,91.868455,24.278497,60728432416426.0,91.868469,24.278502,0.66,0.0493428185318691,91.868462,24.2784995,3.4262769731760763e+18,91.86847,24.27849,0.9,0.04311441413562416,91.868464,24.278497125,91.86847084674999,24.27848591939,3.4262769731760763e+18,1.0,0.04617529698362492,0.8533333333333334,91.8684611905007,24.278498563442803,0.001,0.001,90.0,3.4262769731760763e+18,91.86847084674999,0.0321,24.27848591939,0.0288,1.1106,0.0346,2.044,0.06,-2.937,0.05,False,18037.3,16.1597,15.047935999999998,8436.89,26.0721,15.535932999999998,13951.2,41.6587,14.40039,1.135543,,,0.0,4903.12,0.6613,0.304,1.12,0.652,0.02108,06072842+2416426,91.86845699999999,24.278502,0.08,0.06,0.0,13.648,13.199000000000002,13.144,0.027000000000000003,0.03,0.027999999999999997,AAA,222.0,0.0,2450821.6853,0.019159,1.3713091868468477e+17,91.8684706,24.27848655,0.012,0.003,90.0,503635968.0,60.0,55883.96270833,5.0,55.0,15.6068,0.0057,15.6476,0.0051,115000.0,15.0264,0.0002,15.0422,0.0204,115000.0,14.7644,0.0066,14.8085,0.0043,115000.0,14.6482,0.0027,14.6913,0.0023,115000.0,14.5689,0.0045,14.5914,0.0075,115000.0,0.063529,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060730522411263.2,91.877117,24.190631,60730522411263.0,91.87717,24.190626,0.53,0.1749736250611164,91.8771435,24.19062850000001,3.426272918726984e+18,91.87717,24.19061,0.9,0.10958331748405116,91.877150125,24.190623875,91.87717317708,24.190610984270002,3.426272918726984e+18,1.0,0.0887923664685368,0.81,91.87716267794642,24.190624472245002,0.001,0.001,90.0,3.426272918726984e+18,91.87717317708,0.03,24.190610984270002,0.0269,1.1425,0.0348,2.224,0.057,-3.133,0.051,False,26737.2,16.9316,14.620578,13363.3,23.5706,15.0366,19537.9,34.599000000000004,14.034723999999999,1.001876,,,0.0,5202.67,0.408,0.2088,1.14,0.86,0.15183,06073052+2411263,91.877176,24.190642999999998,0.08,0.06,0.0,13.339,13.019,12.937999999999999,0.023,0.028999999999999998,0.024,AAA,222.0,0.0,2450821.6853,0.198506,1.3702091877169933e+17,91.87717257,24.19061158,0.003,0.001,90.0,503635968.0,60.0,55898.6296875,5.0,68.0,15.1096,0.0025,15.1439,0.0018,115000.0,14.6117,0.0009,14.655,0.0018,115000.0,14.4043,0.0024,14.4377,0.0026,115000.0,14.319,0.0025,14.3657,0.0029,115000.0,14.2592,0.0032,14.2896,0.0068,115000.0,0.195419,0.1249,0.2681,6252.74072266,346.55859375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060731652404083.2,91.881884,24.068997,60731592404083.0,91.881641,24.068981,,0.8008147342203878,91.8817625,24.068989,3.426165578904397e+18,91.88191,24.06898,0.9,0.4859136437385694,91.881799375,24.06898675,91.88191038535,24.06898227446,3.426165578904397e+18,0.9,0.3652463735302031,0.9,91.88189949112221,24.0689945778508,0.001,0.001,90.0,3.426165578904397e+18,91.88191038535,0.0425,24.06898227446,0.0364,0.9976,0.0448,2.31,0.077,-2.858,0.065,False,944185.0,421.866,10.750722999999999,649763.0,905.0089999999999,10.8195,456266.0,828.06,10.613875,0.205625,,,0.0,8859.33,0.789,0.3963,,,0.051661,06073165+2404083,91.881911,24.068998,0.08,0.06,0.0,10.415999999999999,10.369000000000002,10.375,0.021,0.022000000000000002,0.022000000000000002,AAA,222.0,0.0,2450821.6854,0.088822,1.3688091881889336e+17,91.88190736,24.06898256,0.14300000000000002,0.13,90.0,1409605632.0,168.0,55498.33699074,1.0,59.0,10.722000000000001,,,,16484.0,10.807,,,,16484.0,10.911,,,,16484.0,10.985999999999999,,,,114788.0,11.102,,,,16484.0,0.092726,0.3523,0.4337,8301.43261719,609.84375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060737122414332.8,91.90469,24.242626,60737132414334.0,91.904699,24.242616,0.92,0.04657013264747488,91.90469449999999,24.242621,3.426273674641194e+18,91.9047,24.2426,0.9,0.0777258299781704,91.904695875,24.24261575,91.90470125032,24.24260380215,3.426273674641194e+18,1.0,0.046490740167194095,0.94,91.9046904113698,24.2426165461161,0.001,0.001,90.0,3.426273674641194e+18,91.90470125032,0.0316,24.24260380215,0.0283,1.1083,0.0344,2.295,0.06,-2.96,0.05,False,17918.5,14.3303,15.055113,8524.15,39.5818,15.52476,13763.8,40.4941,14.415071,1.10969,,,0.0,5002.21,0.546,0.268,1.06,0.636,0.034061,06073712+2414333,91.904706,24.242607,0.08,0.07,0.0,13.652000000000001,13.277999999999999,13.181,0.023,0.022000000000000002,0.033,AAA,222.0,0.0,2450821.6862,0.086238,1.3709091904687171e+17,91.90470114,24.24260429,0.005,0.004,0.0,503635968.0,60.0,55977.7653588,5.0,42.0,15.6179,0.0044,15.6723,0.0036,115000.0,15.0125,0.0072,15.0618,0.0003,115000.0,14.7922,0.003,14.8467,0.0016,115000.0,14.6925,0.0016,14.745999999999999,0.0017,115000.0,14.6171,0.0037,14.6778,0.0036,115000.0,0.086288,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060737912419095.2,91.907924,24.319306,60737912419095.0,91.90796,24.319316,0.85,0.12346490323492892,91.907942,24.319311,3.426277144974733e+18,91.90796,24.3193,0.9,0.07109891624572827,91.9079465,24.31930825,91.90796165226999,24.319303050320002,3.426277144974733e+18,1.0,0.05311555580432087,0.9166666666666666,91.90795135078122,24.3193164647874,0.001,0.001,90.0,3.426277144974733e+18,91.90796165226999,0.0327,24.319303050320002,0.0292,1.1294,0.0358,2.18,0.061,-3.116,0.052000000000000005,False,15505.2,16.7975,15.212173000000002,7246.9,32.6905,15.701007,12060.4,34.0575,14.558511,1.142496,,,0.0,4908.16,0.5307,0.257,1.02,0.541,0.097314,06073791+2419095,91.90796,24.319317,0.08,0.06,0.0,13.74,13.296,13.219000000000001,0.023,0.026000000000000002,0.025,AAA,222.0,0.0,2450821.6863,0.12456199999999999,1.3718091907941378e+17,91.90796136,24.31930399,0.006,0.001,90.0,503635968.0,60.0,55913.57028935,5.0,53.0,15.7777,0.0039,15.8271,0.0024,115000.0,15.1981,0.0017,15.2447,0.0084,115000.0,14.9263,0.0025,14.9663,0.0022,115000.0,14.7893,0.0016,14.8426,0.002,115000.0,14.7218,0.0041,14.7674,0.0076,115000.0,0.122775,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060740802414234.0,91.920071,24.239846,60740812414234.0,91.920031,24.239843,0.52,0.1317476258498575,91.920051,24.2398445,3.4262734684827576e+18,91.92003,24.23983,0.9,0.08646869487938888,91.92004575,24.239840875,91.92002814092,24.23982586026,3.4262734684827576e+18,1.0,0.07913910227481122,0.8066666666666666,91.92001603224709,24.2398395870108,0.002,0.001,90.0,3.4262734684827576e+18,91.92002814092,0.0583,24.23982586026,0.0533,1.3162,0.0625,2.5639999999999996,0.109,-3.188,0.091,False,5733.12,4.9463300000000014,16.292386999999998,2385.91,18.314,16.907251000000002,5222.63,31.9669,15.467197,1.4400540000000002,,,0.0,4468.33,0.39799999999999996,0.18100000000000002,0.69,0.17,0.181908,06074080+2414234,91.920036,24.239838,0.08,0.07,0.0,14.423,13.879000000000001,13.735999999999999,0.03,0.032,0.040999999999999995,AAA,222.0,0.0,2450821.6862,0.11844600000000001,1.3708091920018838e+17,91.92002877,24.23982747,0.008,0.006,0.0,503635968.0,60.0,55882.02240741,5.0,47.0,17.0705,0.0052,17.0896,0.0068,115000.0,16.2495,0.0035,16.2568,0.0058,115000.0,15.8875,0.001,15.8592,0.0028,115000.0,15.6956,0.0017,15.6871,0.0052,115000.0,15.5466,0.0099,15.5278,0.0076,115000.0,0.15384,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060749522417423.2,91.956388,24.295137,60749532417424.0,91.95638,24.295121,0.87,0.06329922706253137,91.956384,24.295129,,,,,,91.956384,24.295129,,,,,,0.87,91.95637300046819,24.2951214427428,0.001,0.001,90.0,3.42627532390859e+18,91.95638285234001,0.0412,24.295110376680004,0.0376,0.4734,0.0415,2.086,0.081,-2.57,0.07,False,11554.9,6.979139999999999,15.531455,4586.81,15.0222,16.19761,10215.5,19.419,14.738767999999999,1.4588430000000001,,,0.0,4448.3,,,2.75,2.67,0.074558,06074952+2417423,91.956369,24.295107,0.08,0.06,3.0,13.665,13.112,12.966,0.055999999999999994,0.054000000000000006,0.044000000000000004,AAA,222.0,0.0,2450821.6862,0.124702,1.371509195636447e+17,91.95638352,24.29511082,0.006,0.002,90.0,503635968.0,60.0,55747.94979167,5.0,46.0,16.3815,0.0034,16.4363,0.0019,115000.0,15.5423,0.0007,15.5733,0.0015,115000.0,15.1292,0.0026,15.1921,0.0014,115000.0,14.9113,0.0025,14.9679,0.0028,115000.0,14.7654,0.0047,14.7461,0.0104,115000.0,0.095387,,,4929.64453125,145.55615234000015
