istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,total_n_valid_data_points,C,EPIC,i,
143,203,3235383,3235443,2320.46936384507,2320.51022743026,64.3096588858286,0.68365457542985,0.043210612213445,2020,5,211970427,10,
759,764,3236000,3236005,2320.88957874363,2320.89298404957,2.7908297214731,0.213062438094358,0.016127357310374,2020,5,211970427,10,
997,1000,3238263,3238266,2322.43081958231,2322.43286280373,1.45357923393686,0.164129945490534,0.012645360238602,2020,5,211970427,11,
1125,1129,3238391,3238395,2322.5179953613,2322.52071962288,2.29481385855296,0.186016626884178,0.016846335718441,2020,5,211970427,11,
8,12,3239275,3239279,2323.12005278674,2323.12277704739,2.00569522363008,0.194825918801576,0.011344505159287,2020,5,211970427,12,
31,57,3243317,3243343,2325.87289627452,2325.89060388754,14.9814935986554,0.47741564110648,0.020339604758158,2020,5,211970427,14,
126,131,3243412,3243417,2325.93759687564,2325.9410022704,3.74879223846074,0.198185058373587,0.026510062220386,2020,5,211970427,14,
470,475,3245773,3245778,2327.54557657535,2327.54898186685,3.21184242583829,0.208673224034064,0.020190504488759,2020,5,211970427,15,
1164,1168,3248494,3248498,2329.39873570667,2329.4014599573,1.84261279637074,0.198076113153981,0.010442435463884,2020,5,211970427,16,
230,233,3249578,3249581,2330.13700207786,2330.13904528996,1.66139416407951,0.172938273096445,0.011685253680741,2020,5,211970427,17,
736,747,3250084,3250095,2330.48161727098,2330.48910888087,6.90597948751497,0.326181770535312,0.015646725997005,2020,5,211970427,17,
1667,1687,3251016,3251036,2331.11636272199,2331.12998376354,13.0674935630827,0.412405957437498,0.021412053659687,2020,5,211970427,17,
166,170,3251515,3251519,2331.45621019731,2331.45893434515,1.93776648469572,0.18701597072545,0.014064150174414,2020,5,211970427,18,SSO
1875,1883,3253243,3253251,2332.63307647808,2332.63852497097,3.83290478443684,0.266524016813139,0.014927350174833,2020,5,211970427,18,
2011,2019,3253379,3253387,2332.7257001566,2332.73114864949,6.38621193282418,0.267569219951684,0.02341767134988,2020,5,211970427,18,
11,19,3253379,3253387,2332.7257001566,2332.73114864949,5.44903689716793,0.260528474914515,0.021482382462727,2020,5,211970427,19,
273,280,3253641,3253648,2332.90413713761,2332.9089044936,5.34683088197202,0.241755548391171,0.025763089256981,2020,5,211970427,19,
1798,1802,3255167,3255171,2333.94342928332,2333.94615362837,12.895982852174,0.183628825847074,0.089682191822655,2020,5,211970427,19,
359,368,3255744,3255753,2334.33639887489,2334.34252840026,7.87451815722383,0.277031157759449,0.027877707948988,2020,5,211970427,20,
677,690,3256062,3256075,2334.55297466367,2334.56182853293,9.99081255847574,0.32265870225893,0.027735680336139,2020,5,211970427,20,
933,944,3256318,3256329,2334.72732509987,2334.73481679649,10.3784094498685,0.298757502759807,0.032046872210515,2020,5,211970427,20,
1187,1193,3256572,3256578,2334.90031335271,2334.90439976878,4.18179126430558,0.22310079867104,0.020512973600963,2020,5,211970427,20,
1736,1775,3257122,3257161,2335.27489433499,2335.30145543578,24.7275199603124,0.565571015559067,0.035443875097613,2020,5,211970427,20,
991,1002,3258405,3258416,2336.14868909094,2336.15618058383,4.76187668927228,0.317110370798405,0.012441592158335,2020,5,211970427,21,
1314,1339,3258728,3258753,2336.36867012012,2336.38569651172,28.2777551445778,0.403108506027871,0.060414884422254,2020,5,211970427,21,
1469,1483,3258883,3258897,2336.47423374705,2336.48376854611,6.86081156670313,0.359856245891699,0.013167675757081,2020,5,211970427,21,
1716,1719,3259130,3259133,2336.64245454704,2336.64449755391,1.78291724839014,0.171185326750451,0.013148919932108,2020,5,211970427,21,
770,788,3260185,3260203,2337.36096823453,2337.37322717271,12.4509469997681,0.399440271912886,0.026693156712627,2020,5,211970427,22,
1409,1412,3260825,3260828,2337.79684379976,2337.79888700593,1.87105347802802,0.165454799724117,0.016056804914422,2020,5,211970427,22,
1899,1906,3261338,3261345,2338.14622532791,2338.15099267494,3.16495731517323,0.261187734384207,0.011631337527003,2020,5,211970427,22,
469,474,3261909,3261914,2338.53510786558,2338.53851324171,2.31459941905908,0.225728210122777,0.009180199284889,2020,5,211970427,23,
828,867,3262268,3262307,2338.77960680568,2338.80616797796,59.9565036821993,0.499208096235635,0.071326495772119,2020,5,211970427,23,SSO
998,1003,3262438,3262443,2338.89538618581,2338.89879136171,7.03019616000295,0.209957406296215,0.034908217997814,2020,5,211970427,23,
1098,1102,3262538,3262542,2338.96349170194,2338.96621584257,1.82391442843433,0.190079167129901,0.012964704555724,2020,5,211970427,23,
1250,1253,3262690,3262693,2339.06701204401,2339.06905524948,2.20524213675279,0.168003151056483,0.01778587091351,2020,5,211970427,23,
279,282,3263720,3263723,2339.76849887388,2339.77054207889,1.66323873067125,0.161724625640101,0.015402461686202,2020,5,211970427,24,
585,590,3264038,3264043,2339.98507450458,2339.98847977955,2.0895873487214,0.226041357519044,0.009593576132907,2020,5,211970427,24,
548,615,3266002,3266069,2341.32266651979,2341.36829725048,198.646702508328,0.47489479679565,0.358388874161362,2020,5,211970427,25,
1364,1370,3266847,3266853,2341.89815798677,2341.90224429503,6.00168739433758,0.229025876099155,0.028931308539783,2020,5,211970427,25,
1832,1849,3267315,3267332,2342.21689162553,2342.22846951505,8.94416407603261,0.400893767796028,0.014790138533048,2020,5,211970427,25,
1569,1574,3269052,3269057,2343.39988375028,2343.40328902304,3.06846182121845,0.195574382884266,0.022872170454407,2020,5,211970427,26,merge
1581,1589,3269064,3269072,2343.40805646482,2343.41350484131,3.11243783102469,0.281687609384422,0.0096681739246,2020,5,211970427,26,merge
631,638,3272146,3272153,2345.50706678401,2345.51183412475,3.96894891196782,0.264635149548274,0.013417714004954,2020,5,211970427,28,
1081,1090,3272626,3272635,2345.83397298656,2345.84010249587,6.3279164691856,0.300276347919682,0.017104153532681,2020,5,211970427,28,
1794,1797,3273343,3273346,2346.32228902195,2346.32433222497,1.5120764720163,0.181252344267346,0.008702160118292,2020,5,211970427,28,
502,516,3274053,3274067,2346.80583770139,2346.815372482,19.2182442362389,0.362001822795684,0.034899641103126,2020,5,211970427,29,
555,561,3274106,3274112,2346.84193372075,2346.84602002669,5.38638633021483,0.238771656384175,0.025858240451894,2020,5,211970427,29,
1079,1085,3274630,3274636,2347.19880620477,2347.20289251065,3.85575284400902,0.240588167196975,0.017629392035316,2020,5,211970427,29,
