istart,istop,EPIC,C
513,516,210971338,4
821,824,211061207,4
1869,1876,211112686,4
555,560,210700098,4
1543,1546,210762863,4
942,946,210863683,4
2758,2761,210872505,4
1873,1876,210963935,4
1337,1340,210971138,4
1275,1278,210974893,4
1678,1681,210991032,4
324,327,211001183,4
228,232,211004548,4
1632,1636,211030439,4
441,444,211039634,4
1406,1409,211047980,4
2286,2289,211053549,4
1287,1290,211059658,4
1229,1232,211081065,4
1895,1898,211103969,4
705,708,211115160,4
1609,1612,211126627,4
505,508,211010854,4
102,105,211774926,5
2422,2425,211887567,5
79,82,211902720,5
1127,1133,211916718,5
2252,2255,211927313,5
474,477,211939447,5
469,473,211953966,5
396,399,211973202,5
876,881,211994910,5
1114,1117,212018902,5
1984,1987,212068782,5
2072,2075,212081702,5
382,385,247153621,13
2377,2380,247122957,13
2692,2699,247230044,13
2294,2297,247306074,13
1479,1482,247969085,13
2260,2266,211851675,16
2279,2282,211876887,16
2277,2280,211935711,16
1598,1601,211961846,16
975,978,211963319,16
3426,3429,212033074,16
3092,3095,212007527,16
1579,1585,212003893,18
1141,1144,211844142,18
1186,1189,211924546,18
1014,1017,211946007,18
1539,1542,211946907,18
1172,1176,211949728,18
1536,1539,211980180,18
57,60,212005504,18
1009,1013,212005504,18
2275,2279,212024396,18
2032,2035,212080687,18
574,578,212089563,18
3018,3021,212171351,5
494,497,212018862,5
2097,2106,212029226,5
2553,2557,211951223,5
2890,2893,212034597,5
973,979,211908826,5
480,483,211925552,5
151,154,211939364,5
409,412,211934172,5
665,668,211979060,5
2759,2762,212077235,5
1784,1787,212067464,5
2257,2261,211917139,5
3006,3009,211416749,16
3000,3005,211423010,16
1195,1198,211429166,16
3233,3236,211421905,16
2941,2944,211901847,16
2221,2224,211922849,16
2306,2309,211939206,16
1960,1963,211952098,16
2729,2732,211956610,16
3073,3076,211896450,16
2640,2643,211970517,16
3005,3008,211970861,16
820,823,211420952,18
870,873,211383527,18
628,631,212009294,18
106,109,211985566,18
633,636,211985566,18
1093,1096,211824166,18
428,431,211896418,18
1876,1879,211896418,18
22,25,211896749,18
1428,1431,211917204,18
760,764,211955365,18
466,469,211941802,18
375,378,212023593,18
538,542,211737793,18
1213,1216,211916718,18
1120,1123,211983811,18
2128,2131,211897829,18
556,559,211711533,18
1539,1542,211946055,18
645,651,211923104,18
