Campaign,EPIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,tstart,tstop
8.0,142052876,0.016418814659118652,209416.0,209420.0,5.732532258845782,0.5348171809739765,680.0,684.0,1518.3103402997565,1518.3158959391849
8.0,142052876,0.04539763927459717,209460.0,209464.0,10.13878930878484,0.4518387002612434,724.0,728.0,1518.3714523349918,1518.377007974712
8.0,142052876,0.044194936752319336,211466.0,211473.0,17.99686488420952,0.6119568454912315,2720.0,2727.0,1521.1576071466811,1521.167329523788
8.0,142052876,0.04252457618713379,217071.0,217074.0,8.498254166791137,0.39981824414913575,8310.0,8313.0,1528.9424505391426,1528.946617262064
8.0,142052876,0.34823477268218994,221622.0,221649.0,233.78031833147327,0.9618460451015124,8586.0,8613.0,1535.263387204317,1535.3008878690814
8.0,167894019,0.1953537464141845,222407.0,222410.0,34.43651545402721,1.1887104138624995,9370.0,9373.0,1536.3548847853435,1536.3590514501452
