EPIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,tstart,tstop,Campaign,total_obs_time,saturation_f10,quality,explanation,total_n_valid_data_points
211091768,,,,,,,,,,,,,,,
211008578,0.0015192031860351562,103838.0,103847.0,15.261636734008787,0.07706615087580701,82.0,91.0,2230.7207,2230.9048,4.0,1637.0,20.59757423400879,0.0,,3274.0
211008578,,,,,,,,,,,,,,,
211060621,0.004973411560058594,103766.0,103781.0,93.6155242919922,0.1472285524744725,10.0,24.0,2229.249755859375,2229.55615234375,4.0,1526.0,19.55191802978516,16384.0,Detector anomaly,3052.0
211060621,0.004263758659362793,103801.0,103820.0,119.3053207397461,0.16580031654220384,43.0,61.0,2229.96484375,2230.35302734375,4.0,1526.0,19.56671714782715,8192.0,Cosmic ray in collateral data,3052.0
211060621,0.002469897270202637,103842.0,103851.0,19.553142547607425,0.09537060365815908,82.0,91.0,2230.802490234375,2230.986572265625,4.0,1526.0,19.567188262939453,0.0,,3052.0
211060621,0.004221439361572266,103872.0,103900.0,139.24395751953122,0.1847912845753097,112.0,138.0,2231.41552734375,2231.987548828125,4.0,1526.0,19.56195831298828,8192.0,Cosmic ray in collateral data,3052.0
211060621,0.0007851123809814452,103979.0,103985.0,4.682533264160156,0.08822095461819192,214.0,219.0,2233.601806640625,2233.724365234375,4.0,1526.0,19.538894653320312,8192.0,Cosmic ray in collateral data,3052.0
211060621,0.0015388727188110352,104022.0,104037.0,31.039764404296875,0.14364863432898725,254.0,268.0,2234.48046875,2234.786865234375,4.0,1526.0,19.56333351135254,0.0,,3052.0
211060621,0.003014087677001953,104107.0,104119.0,34.769222259521484,0.11445246081384018,336.0,348.0,2236.217041015625,2236.46240234375,4.0,1526.0,19.549095153808594,0.0,,3052.0
211060621,0.002475142478942871,104222.0,104245.0,73.0941162109375,0.1707030123269723,447.0,470.0,2238.56689453125,2239.03662109375,4.0,1526.0,19.270381927490234,0.0,,3052.0
211095624,0.00197601318359375,103778.0,103788.0,22.81678771972656,0.0948603446073653,33.0,43.0,2229.494873046875,2229.69921875,4.0,1641.0,19.452373504638672,1966080.0,"Rolling band in optimal aperture, Rolling band in full mask, Possible thruster firing, Thruster firing",3282.0
211095624,0.001492142677307129,103798.0,103808.0,15.728357315063475,0.08931274123996671,52.0,62.0,2229.903564453125,2230.10791015625,4.0,1641.0,19.45225715637207,0.0,,3282.0
211113345,0.00542902946472168,103799.0,103820.0,153.3928985595703,0.2901755051939616,53.0,73.0,2229.923828125,2230.35302734375,4.0,1629.0,17.648799896240234,0.0,,3258.0
211113345,0.002577066421508789,106313.0,106326.0,17.92795181274414,0.12467154018855604,2459.0,2471.0,2281.28955078125,2281.55517578125,4.0,1629.0,17.645227432250977,0.0,,3258.0
211113345,0.0017772912979125977,106348.0,106356.0,15.178487777709961,0.15867722535993986,2491.0,2499.0,2282.004638671875,2282.16796875,4.0,1629.0,17.645429611206055,0.0,,3258.0
211071351,0.026386857032775882,103795.0,103801.0,215.7212219238281,11.827337774893039,49.0,55.0,2229.84228515625,2229.96484375,4.0,1555.5,0.043782010674476624,0.0,,3111.0
211071351,0.03723263740539552,103816.0,103820.0,205.31854248046875,9.696040984380241,69.0,73.0,2230.271240234375,2230.35302734375,4.0,1555.5,0.045734643936157234,0.0,,3111.0
211071351,0.1892094612121582,103886.0,103894.0,798.2236938476562,9.498759986522662,136.0,144.0,2231.701416015625,2231.864990234375,4.0,1555.5,0.03918150067329407,0.0,,3111.0
211071351,0.02502012252807617,103939.0,103948.0,317.5579833984375,14.52548095447794,187.0,196.0,2232.784423828125,2232.96826171875,4.0,1555.5,0.03599462658166885,0.0,,3111.0
211071351,0.02906203269958496,103968.0,103973.0,199.5123748779297,10.762746306549477,215.0,220.0,2233.376953125,2233.479248046875,4.0,1555.5,0.03006063401699066,0.0,,3111.0
211071351,0.045414090156555176,103982.0,103989.0,383.3265075683594,12.684172114742875,228.0,235.0,2233.6630859375,2233.80615234375,4.0,1555.5,0.03329271078109741,262144.0,Rolling band in full mask,3111.0
211071351,0.19058918952941886,104020.0,104032.0,1716.0367431640625,13.930837986043516,264.0,275.0,2234.439453125,2234.6845703125,4.0,1555.5,0.03715837746858597,0.0,,3111.0
211071351,1.7885499000549316,104061.0,104073.0,5293.70068359375,8.04757630064328,303.0,315.0,2235.277099609375,2235.5224609375,4.0,1555.5,0.10574892163276672,0.0,,3111.0
211071351,0.037199616432189934,104109.0,104113.0,206.3834686279297,9.68439235848786,350.0,354.0,2236.2578125,2236.339599609375,4.0,1555.5,0.03356210142374039,0.0,,3111.0
211071351,0.025967001914978027,104189.0,104193.0,123.31109619140624,9.29505455660286,425.0,429.0,2237.892578125,2237.97412109375,4.0,1555.5,0.03252670913934708,262144.0,Rolling band in full mask,3111.0
211071351,0.025115966796875,104212.0,104216.0,162.74420166015625,9.860933595177046,447.0,451.0,2238.3623046875,2238.444091796875,4.0,1555.5,0.02913003414869308,0.0,,3111.0
211071351,0.1665433645248413,104288.0,104293.0,478.7298889160156,7.649401223436192,522.0,527.0,2239.915283203125,2240.017333984375,4.0,1555.5,0.04321007430553436,2048.0,Impulsive outlier,3111.0
211071351,0.2875605821609497,104460.0,104464.0,835.9246826171875,7.894867746878598,688.0,691.0,2243.429443359375,2243.51123046875,4.0,1555.5,0.047617167234420776,0.0,,3111.0
211071351,0.1903003454208374,104562.0,104567.0,651.0364379882812,8.453336542105761,782.0,787.0,2245.513671875,2245.61572265625,4.0,1555.5,0.04508872702717781,0.0,,3111.0
211071351,0.06569159030914308,105097.0,105101.0,315.6447448730469,9.374027275555301,1291.0,1295.0,2256.444580078125,2256.5263671875,4.0,1555.5,0.04248636960983277,0.0,,3111.0
211071351,0.08491384983062744,105574.0,105577.0,338.7977600097656,8.231338850932799,1752.0,1755.0,2266.1904296875,2266.251708984375,4.0,1555.5,0.0407586544752121,2048.0,Impulsive outlier,3111.0
211071351,0.6024256944656372,105710.0,105725.0,4883.32421875,13.613581216348596,1885.0,1900.0,2268.96923828125,2269.275634765625,4.0,1555.5,0.05918395891785621,0.0,,3111.0
211056608,0.02026665210723877,103796.0,103801.0,121.8117446899414,9.59140674422748,50.0,55.0,2229.86279296875,2229.96484375,4.0,1593.0,0.06729521602392198,0.0,,3186.0
211056608,0.032164692878723145,103817.0,103820.0,148.97216796875,7.656297545895175,70.0,73.0,2230.291748046875,2230.35302734375,4.0,1593.0,0.0663398876786232,0.0,,3186.0
211056608,0.028191804885864258,103943.0,103948.0,201.31802368164062,9.768428140687133,191.0,196.0,2232.8662109375,2232.96826171875,4.0,1593.0,0.06352266669273376,0.0,,3186.0
211056608,0.10000395774841307,103965.0,103973.0,538.662353515625,10.148534843371786,212.0,220.0,2233.315673828125,2233.479248046875,4.0,1593.0,0.06582016497850418,0.0,,3186.0
211056608,0.02977001667022705,104096.0,104101.0,191.55670166015625,9.745570852951543,337.0,342.0,2235.992431640625,2236.094482421875,4.0,1593.0,0.06474724411964418,0.0,,3186.0
211056608,0.03390979766845703,104179.0,104182.0,159.63905334472656,7.578142939286383,418.0,421.0,2237.688232421875,2237.74951171875,4.0,1593.0,0.06142654269933701,0.0,,3186.0
211056608,0.05079686641693115,104507.0,104514.0,367.8316040039063,11.106382406930082,734.0,740.0,2244.389892578125,2244.532958984375,4.0,1593.0,0.06318854540586473,0.0,,3186.0
211056608,0.11021101474761964,105047.0,105052.0,601.3504638671875,10.887088653201806,1247.0,1251.0,2255.423095703125,2255.525146484375,4.0,1593.0,0.06345610320568085,16384.0,Detector anomaly,3186.0
211056608,1.143327236175537,105726.0,105732.0,3498.72607421875,7.353827554492367,1903.0,1909.0,2269.296142578125,2269.418701171875,4.0,1593.0,0.12118027359247208,0.0,,3186.0
211056608,0.01715850830078125,106334.0,106340.0,152.10935974121094,11.231493018116636,2447.0,2453.0,2281.718505859375,2281.841064453125,4.0,1593.0,0.06178177893161774,0.0,,3186.0
210967650,0.009555578231811523,103751.0,103754.0,50.188194274902344,0.09393391051734357,7.0,10.0,2228.943115234375,2229.00439453125,4.0,1621.0,17.748689651489258,0.0,,3242.0
210967650,0.008430957794189453,103798.0,103801.0,42.70551681518555,0.09360591416437802,52.0,55.0,2229.903564453125,2229.96484375,4.0,1621.0,17.717161178588867,0.0,,3242.0
210967650,0.004887104034423828,103806.0,103809.0,25.46821594238281,0.09399435123315572,60.0,63.0,2230.06689453125,2230.128173828125,4.0,1621.0,17.55340576171875,0.0,,3242.0
210967650,0.006888985633850098,103831.0,103836.0,46.874229431152344,0.1107370752412172,84.0,89.0,2230.577880859375,2230.679931640625,4.0,1621.0,18.856081008911133,8192.0,Cosmic ray in collateral data,3242.0
210967650,0.0003633499145507813,104222.0,104229.0,3.040136337280273,0.1352516059735848,459.0,466.0,2238.566650390625,2238.709716796875,4.0,1621.0,18.889610290527344,393216.0,"Rolling band in optimal aperture, Rolling band in full mask",3242.0
211044536,0.014206171035766603,103820.0,103872.0,853.7733154296875,0.4307202356719994,61.0,112.0,2230.35302734375,2231.41552734375,4.0,1499.0,17.560256958007812,19677184.0,"Detector anomaly, Rolling band in full mask, Possible thruster firing",2998.0
211044536,0.009926795959472656,104040.0,104092.0,463.7886047363281,0.420976362367528,271.0,321.0,2234.84814453125,2235.910400390625,4.0,1499.0,17.54879379272461,19292160.0,"Cosmic ray in collateral data, Detector anomaly, Rolling band in optimal aperture, Rolling band in full mask",2998.0
211051330,0.0023839473724365234,103970.0,103973.0,12.358299255371096,0.10824755407823937,217.0,220.0,2233.41796875,2233.479248046875,4.0,1636.5,17.692424774169922,0.0,,3273.0
211051330,0.012753605842590332,104934.0,104942.0,87.81527709960938,0.167025079438005,1141.0,1148.0,2253.1142578125,2253.27783203125,4.0,1636.5,17.878416061401367,16384.0,Detector anomaly,3273.0
211023213,0.008454084396362305,103781.0,103802.0,175.933837890625,0.17245032360504495,36.0,56.0,2229.55615234375,2229.9853515625,4.0,1641.0,20.138874053955078,0.0,,3282.0
211023213,0.01868903636932373,104040.0,104083.0,823.0626220703125,0.2433735104208136,283.0,325.0,2234.84814453125,2235.726806640625,4.0,1641.0,20.130216598510746,8192.0,Cosmic ray in collateral data,3282.0
210969800,0.02478325366973877,103804.0,103812.0,344.6646423339844,0.1127383007640696,58.0,66.0,2230.026123046875,2230.189453125,4.0,1594.0,20.268821716308594,8192.0,Cosmic ray in collateral data,3188.0
210969800,0.020604729652404785,103900.0,103917.0,572.0050048828125,0.16921266287143966,150.0,166.0,2231.987548828125,2232.3349609375,4.0,1594.0,20.26239013671875,16384.0,Detector anomaly,3188.0
210969800,0.01922035217285156,103999.0,104020.0,600.5430908203125,0.1905426286897296,245.0,264.0,2234.01025390625,2234.439453125,4.0,1594.0,20.25917053222656,0.0,,3188.0
210969800,0.015994429588317868,104100.0,104123.0,537.3421020507811,0.1882460243070201,341.0,364.0,2236.073974609375,2236.5439453125,4.0,1594.0,20.262102127075195,0.0,,3188.0
210969800,0.0208808183670044,104198.0,104228.0,894.0093383789062,0.22291764996086608,437.0,465.0,2238.076171875,2238.689208984375,4.0,1594.0,20.263286590576172,16384.0,Detector anomaly,3188.0
210969800,0.02200150489807129,104862.0,104884.0,178.59837341308594,0.1407687348946627,1072.0,1094.0,2251.64306640625,2252.092529296875,4.0,1594.0,20.267742156982425,12288.0,"Argabrightening on CCD, Cosmic ray in collateral data",3188.0
210969800,0.015936017036437992,104962.0,104995.0,642.7913818359375,0.2203302420977626,1168.0,1199.0,2253.686279296875,2254.3603515625,4.0,1594.0,20.268259048461914,0.0,,3188.0
210969800,0.013124227523803713,105068.0,105099.0,472.0057067871094,0.2213312572799695,1268.0,1296.0,2255.85205078125,2256.4853515625,4.0,1594.0,20.256898880004886,0.0,,3188.0
210969800,0.02453327178955078,105167.0,105210.0,1143.9278564453125,0.2460131245201195,1362.0,1403.0,2257.874755859375,2258.753173828125,4.0,1594.0,20.14516830444336,26624.0,"Impulsive outlier, Cosmic ray in collateral data, Detector anomaly",3188.0
210969800,0.02687704563140869,105271.0,105318.0,1396.250732421875,0.2476065984231008,1462.0,1507.0,2259.99951171875,2260.9599609375,4.0,1594.0,20.262039184570312,8192.0,Cosmic ray in collateral data,3188.0
210969800,0.018505334854125977,105382.0,105418.0,742.4340209960938,0.21658268866721567,1569.0,1605.0,2262.267578125,2263.0029296875,4.0,1594.0,20.269155502319336,0.0,,3188.0
211095259,0.004928231239318848,103797.0,103801.0,29.29696655273437,0.1861759352135113,51.0,55.0,2229.883056640625,2229.96484375,4.0,1637.5,12.613375663757324,0.0,,3275.0
211095259,0.002669334411621093,105831.0,105845.0,46.12393569946289,0.3298842895901196,2008.0,2022.0,2271.44140625,2271.727294921875,4.0,1637.5,10.009902000427246,0.0,,3275.0
211095259,0.009868383407592772,105854.0,105923.0,781.57568359375,0.7105671732757726,2030.0,2099.0,2271.911376953125,2273.321044921875,4.0,1637.5,10.731420516967773,786432.0,"Rolling band in full mask, Possible thruster firing",3275.0
211095259,0.012647390365600586,106178.0,106232.0,655.2479248046875,0.6167342843987114,2340.0,2390.0,2278.531005859375,2279.634521484375,4.0,1637.5,10.725369453430176,786432.0,"Rolling band in full mask, Possible thruster firing",3275.0
211095259,0.005343794822692871,106238.0,106245.0,45.17086410522461,0.2333164181151951,2395.0,2402.0,2279.757080078125,2279.89990234375,4.0,1637.5,9.45159912109375,786432.0,"Rolling band in full mask, Possible thruster firing",3275.0
211057685,0.03132355213165283,103754.0,103758.0,196.7812347412109,7.611711302129072,10.0,14.0,2229.00439453125,2229.086181640625,4.0,1622.5,0.0341404527425766,0.0,,3245.0
