,EPIC,todrop,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,2MASS_id_SF,RAJ2000_SF,DEJ2000_SF,DANCe_id_Bouy,RAJ2000_Bouy,DEJ2000_Bouy,PMem_Bouy,dist_SF_Bouy,RAJ2000_SF_Bouy,DEJ2000_SF_Bouy,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_SF_Bouy_GaiaC,RAJ2000_SF_Bouy_GaiaC,DEJ2000_SF_Bouy_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_SF_Bouy_GaiaC_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,Gflux_Gaia,e_Gflux_Gaia,G_Gaia,BPflux_Gaia,e_BPflux_Gaia,BP_Gaia,RPflux_Gaia,e_RPflux_Gaia,RP_Gaia,BPRP_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,Ext_BPRP_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,J_2MASS,H_2MASS,K_2MASS,e_J_2MASS,e_H_2MASS,e_K_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,g_PS1,e_g_PS1,gFlags_PS1,r_PS1,e_r_PS1,rFlags_PS1,i_PS1,e_i_PS1,iFlags_PS1,z_PS1,e_z_PS1,zFlags_PS1,y_PS1,e_y_PS1,yFlags_PS1,angDist_PS1,elo_Ext_BPRP_Gaia,eup_Ext_BPRP_Gaia,Teff_StarHorse,e_Teff_StarHorse,e_G_Gaia,e_BP_Gaia,e_RP_Gaia,BPRP_Gaia_corr,e_BPRP_Gaia_corr,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,i_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,y_SDSS,e_y_SDSS,bayestar2019_ext,bayestar2019_ext_err,bayestar2019_flags
0,2060706152402100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060706152402100.0,91.775643,24.036143,60706162402101.0,91.77568199999999,24.036146,0.87,0.1286797511447578,91.7756625,24.0361445,,,,,,91.7756625,24.036144499999995,,,,,,0.87,91.7756664178529,24.036156127103897,0.003,0.003,90.0,3.4261758138073897e+18,91.77567840907,0.114,24.03614239704,0.1021,1.6193,0.1344,2.544,0.194,-3.189,0.162,False,4189.15,12.3937,16.63305,1740.83,18.7671,17.249496,3879.85,30.9025,15.789884,1.4596129999999998,,,0.0,4557.08,0.13,0.066,,,0.09034,06070615+2402100,91.775657,24.036121,0.08,0.06,0.0,14.657219000531546,14.09193000031449,14.062922000202908,0.033345681757081434,0.034695718905570654,0.042565088050060006,AAA,222.0,0.0,2450821.6855,0.091604,1.3684091775661392e+17,91.77567984,24.03614141,0.005,0.004,90.0,503636096.0,60.0,56065.44553241,5.0,45.0,17.506660002359006,0.08110331094690322,115000.0,16.568890001754838,0.06031735524816652,115000.0,16.16977000132166,0.04512011615032119,115000.0,15.994430001038687,0.035826745949872146,115000.0,15.876710000846908,0.028877748506653145,115000.0,0.121259,0.16654285714285713,0.3702607142857143,,,0.0032074341093006734,0.011642187985776776,0.008613490173703445,1.3936129999999998,0.2687922084597803,17.786042189690487,0.011131338053528686,16.680029623990595,0.008154499368596831,16.22300552052731,0.0029018380271416473,15.992546902472023,0.0061517425091559,15.980537371307907,0.007267972633967481,0.029999999329447746,0.02284465957432985,10
1,2060707042405252.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060707042405252.0,91.779359,24.090385,60707052405253.0,91.779364,24.090357,0.76,0.1021305970171925,91.7793615,24.090371,,,,,,91.7793615,24.090371,91.77937177618,24.090344241870003,3.4261767801785144e+18,0.9,0.1020778446619876,0.8300000000000001,91.77936309133051,24.090354315246802,0.002,0.001,90.0,3.4261767801785144e+18,91.77937177618,0.0579,24.090344241870003,0.0539,1.1465,0.0601,1.841,0.108,-2.34,0.091,False,12401.5,15.1812,15.454676,5666.99,26.6662,15.968008,9717.96,23.1951,14.792982,1.175026,,,0.0,4923.5,,0.28856209677419353,0.89,0.419,0.11128,06070704+2405252,91.779367,24.090359,0.08,0.06,0.0,13.839432336311042,13.488958579197526,13.352614639797807,0.028963797180947676,0.03161440888907879,0.0332417642305593,AAA,222.0,0.0,2450821.6854,0.097222,1.36900917793709e+17,91.77937116,24.09034489,0.001,0.001,90.0,503635968.0,60.0,56098.69097222,5.0,44.0,15.395691218799351,0.04678258787503526,115000.0,14.941812796929478,0.034722693544648874,115000.0,14.769590532192588,0.026103886138650393,115000.0,14.764508185878396,0.020603194914344827,115000.0,14.719135790035129,0.017851685315140694,115000.0,0.149824,0.16654285714285713,0.3702607142857143,,,0.0013282827129553125,0.005096983295752697,0.0025883779032059686,0.8864639032258064,0.2684626557149138,16.21526638431226,0.004982133047167481,15.488922723542386,0.002844914505187301,15.148314409948421,0.0014004201733287904,15.03301820318725,0.0023555008780931433,15.001932284986593,0.0067304050354956,0.19625036418437958,0.013224919736385343,2
2,2060721992404359.0,r-J outlier,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060721992404359.2,91.841637,24.076603,60721992404359.0,91.841639,24.07664,0.85,0.13336210964211906,91.841638,24.0766215,,,,,,91.841638,24.0766215,,,,,,0.85,91.8416320304388,24.0766370898416,0.001,0.001,90.0,3.426177291284416e+18,91.84163100374,0.048,24.07662893045,0.0434,0.0635,0.054000000000000006,-0.218,0.087,-1.895,0.073,False,8982.63,5.89834,15.804856,3640.27,24.8263,16.448555,8171.25,18.2788,14.981198999999998,1.467356,,,0.0,4329.25,0.359,0.173,,,0.123806,06072199+2404359,91.841635,24.07666,0.08,0.06,0.0,13.377525996220113,13.089219997763635,13.00438799855709,0.024706473057447137,0.03417667473170281,0.030083454070816563,AAA,222.0,0.0,2450821.6854,0.205305,1.3689091841626253e+17,91.84163081,24.0766299,0.005,0.004,90.0,503635968.0,60.0,55871.15056713,5.0,58.0,14.47523998322487,0.026490361767083182,115000.0,14.207359987521173,0.01951397412002781,115000.0,14.187379990601539,0.014911218828948483,115000.0,14.208319992613792,0.011547793763632927,115000.0,14.203539993977547,0.012109569845367835,115000.0,0.098954,0.16654285714285713,0.3702607142857143,,,0.0007127021413720125,0.00737948390264946,0.0024260413809690544,1.294356,0.26851417287374046,16.817375471398094,0.005026027867845354,15.863068511844341,0.002510334637021399,15.402786369869341,0.003100378211811578,15.124031336895298,0.0018417790817008277,15.043943066403429,0.008404762912437469,0.6200000047683716,0.007400009632110571,10
3,2060728422416426.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060728422416426.0,91.86845500000001,24.278497,60728432416426.0,91.86846899999999,24.278502,0.66,0.0493428185318691,91.868462,24.2784995,3.4262769731760763e+18,91.86847,24.278489999999998,0.9,0.04311441413562416,91.868464,24.278497125,91.86847084674999,24.27848591939,3.4262769731760763e+18,1.0,0.04617529698362492,0.8533333333333334,91.8684611905007,24.278498563442803,0.001,0.001,90.0,3.4262769731760763e+18,91.86847084674999,0.0321,24.27848591939,0.0288,1.1106,0.0346,2.044,0.06,-2.937,0.05,False,18037.3,16.1597,15.047935999999998,8436.89,26.0721,15.535932999999998,13951.2,41.6587,14.40039,1.135543,,,0.0,4903.12,0.6613,0.304,1.12,0.652,0.02108,06072842+2416426,91.868457,24.278502,0.08,0.06,0.0,13.424635423734784,13.06684661754966,13.058734299510718,0.027227549053117892,0.030071903756836327,0.028032090635128775,AAA,222.0,0.0,2450821.6853,0.019159,1.3713091868468477e+17,91.8684706,24.27848655,0.012,0.003,90.0,503635968.0,60.0,55883.96270833,5.0,55.0,14.615508743155003,0.016598948119476126,115000.0,14.288989761465789,0.011598636657317767,115000.0,14.209017661386728,0.010947465493601918,115000.0,14.21172752789855,0.007376128450077515,115000.0,14.21301573126912,0.0071815380575335555,115000.0,0.063529,0.16654285714285713,0.3702607142857143,,,0.0009722805874062037,0.0033500228515972873,0.0032372099433529943,0.8315429999999999,0.2684422112037168,15.726724182972111,0.0058952709189710704,15.059692627286354,0.0008239459264063172,14.755947962410835,0.006600232069866419,14.615565482582886,0.00301849928260429,14.596610069968674,0.005887265154233999,0.28177693486213684,0.004431376457214364,2
4,2060730522411263.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060730522411263.2,91.877117,24.190631,60730522411263.0,91.87716999999999,24.190626,0.53,0.1749736250611164,91.8771435,24.19062850000001,3.426272918726984e+18,91.87716999999999,24.19061,0.9,0.10958331748405116,91.877150125,24.190623875,91.87717317708,24.190610984270002,3.426272918726984e+18,1.0,0.0887923664685368,0.81,91.87716267794642,24.190624472245002,0.001,0.001,90.0,3.426272918726984e+18,91.87717317708,0.03,24.190610984270002,0.0269,1.1425,0.0348,2.224,0.057,-3.133,0.051,False,26737.2,16.9316,14.620578,13363.3,23.5706,15.0366,19537.9,34.599000000000004,14.034724,1.001876,,,0.0,5202.67,0.408,0.2088,1.14,0.86,0.15183,06073052+2411263,91.877176,24.190643,0.08,0.06,0.0,13.190878054492176,12.931363829389214,12.881456918492914,0.024256318227250624,0.02935612386229968,0.024179562985585646,AAA,222.0,0.0,2450821.6853,0.198506,1.3702091877169933e+17,91.87717257,24.19061158,0.003,0.001,90.0,503635968.0,60.0,55898.6296875,5.0,68.0,14.452235291665794,0.03428659097675249,115000.0,14.12269390514195,0.025453428658074928,115000.0,14.03600385442674,0.019308066167185813,115000.0,14.029557722225785,0.015262582359587468,115000.0,14.023198969122767,0.012686695437201549,115000.0,0.195419,0.1249,0.2681,6252.74072266,346.55859375,0.0006873357304282048,0.0019133680150049245,0.0019209927645100614,0.793076,0.1965187044287697,15.214552123325417,0.002565382969115331,14.644252980658555,0.0009427009610477461,14.395296377340568,0.0024000840686719954,14.291263732165694,0.0025461440000970467,14.274241163741577,0.003475536574929955,0.18685750663280487,0.009720104038715371,2
5,2060731652404083.0,BP-RP outlier,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060731652404083.2,91.881884,24.068997,60731592404083.0,91.881641,24.068981,,0.8008147342203878,91.8817625,24.068989000000002,3.426165578904397e+18,91.88190999999999,24.06898,0.9,0.4859136437385694,91.881799375,24.06898675,91.88191038535,24.06898227446,3.426165578904397e+18,0.9,0.3652463735302031,0.9,91.88189949112221,24.0689945778508,0.001,0.001,90.0,3.426165578904397e+18,91.88191038535,0.0425,24.06898227446,0.0364,0.9976,0.0448,2.31,0.077,-2.858,0.065,False,944185.0,421.866,10.750723,649763.0,905.009,10.8195,456266.0,828.06,10.613875,0.205625,,,0.0,8859.33,0.789,0.3963,,,0.051661,06073165+2404083,91.881911,24.068998,0.08,0.06,0.0,10.344657003071159,10.326790001817049,10.347766001172364,0.02137075865980327,0.022124624803725557,0.022051965174217113,AAA,222.0,0.0,2450821.6854,0.088822,1.3688091881889336e+17,91.88190736,24.06898256,0.14300000000000002,0.13,90.0,1409605632.0,168.0,55498.33699074,1.0,59.0,,,16484.0,,,16484.0,,,16484.0,,,114788.0,,,16484.0,0.092726,0.3523,0.4337,8301.43261719,609.84375,0.00048500335650331295,0.00151119311791602,0.0019686758977282798,-0.19067499999999998,0.3930078362951939,,,,,,,,,,,0.08999999612569809,0.004999998956918716,2
6,2060737122414332.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060737122414332.8,91.90469,24.242626,60737132414334.0,91.904699,24.242616,0.92,0.04657013264747488,91.9046945,24.242621,3.426273674641194e+18,91.9047,24.2426,0.9,0.0777258299781704,91.904695875,24.24261575,91.90470125032,24.24260380215,3.426273674641194e+18,1.0,0.046490740167194095,0.94,91.9046904113698,24.2426165461161,0.001,0.001,90.0,3.426273674641194e+18,91.90470125032,0.0316,24.24260380215,0.0283,1.1083,0.0344,2.295,0.06,-2.96,0.05,False,17918.5,14.3303,15.055113,8524.15,39.5818,15.52476,13763.8,40.4941,14.415071,1.10969,,,0.0,5002.21,0.546,0.268,1.06,0.636,0.034061,06073712+2414333,91.904706,24.242607,0.08,0.07,0.0,13.467984957131742,13.169127721577883,13.110755327397584,0.02457776277071358,0.022589308831002075,0.033165323811538076,AAA,222.0,0.0,2450821.6862,0.086238,1.3709091904687171e+17,91.90470114,24.24260429,0.005,0.004,0.0,503635968.0,60.0,55977.7653588,5.0,42.0,14.801241843307018,0.03870212355918373,115000.0,14.404997329145669,0.029495673201260085,115000.0,14.334657866162061,0.021750608648598253,115000.0,14.332919703036547,0.017005765769456338,115000.0,14.323910900539161,0.014291651386036344,115000.0,0.086288,0.16654285714285713,0.3702607142857143,,,0.0008679692627009926,0.00502993532785503,0.0031896250723660808,0.84169,0.2684678612648486,15.736030747144685,0.004494055229683456,15.045728422121508,0.007216047395139036,14.783679333643944,0.0030001861821756784,14.660432381460522,0.0017950619068765213,14.643358702771975,0.004350711198292083,0.2321370542049408,0.01092984497547149,2
7,2060737912419095.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060737912419095.2,91.907924,24.319306,60737912419095.0,91.90796,24.319316,0.85,0.12346490323492892,91.907942,24.319311,3.426277144974733e+18,91.90796,24.3193,0.9,0.07109891624572827,91.9079465,24.31930825,91.90796165226999,24.319303050320002,3.426277144974733e+18,1.0,0.05311555580432087,0.9166666666666666,91.90795135078122,24.3193164647874,0.001,0.001,90.0,3.426277144974733e+18,91.90796165226999,0.0327,24.319303050320002,0.0292,1.1294,0.0358,2.18,0.061,-3.116,0.052000000000000005,False,15505.2,16.7975,15.212173000000002,7246.9,32.6905,15.701007,12060.4,34.0575,14.558511,1.142496,,,0.0,4908.16,0.5307,0.257,1.02,0.541,0.097314,06073791+2419095,91.90796,24.319317,0.08,0.06,0.0,13.58146000944972,13.202200005590916,13.158480003607272,0.024550095634626585,0.0264915284254313,0.02521389768566266,AAA,222.0,0.0,2450821.6863,0.124562,1.3718091907941378e+17,91.90796136,24.31930399,0.006,0.001,90.0,503635968.0,60.0,55913.57028935,5.0,53.0,15.074100041937827,0.03830056503198115,115000.0,14.674700031197071,0.028394196872158828,115000.0,14.53210002349615,0.021492689944081426,115000.0,14.47950001846552,0.016852476147071048,115000.0,14.469200015056133,0.014280084290692207,115000.0,0.122775,0.16654285714285713,0.3702607142857143,,,0.0011755915551957467,0.004886702582198279,0.003061701796197465,0.885496,0.2684637265155817,15.89858728219276,0.003981473960507073,15.231424439118951,0.0017530395329086869,14.917885133316831,0.002500174978914574,14.75636308994658,0.0017552697777111301,14.75028250640716,0.0045751622324194515,0.19999998807907104,0.010830439627170549,2
8,2060740802414234.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060740802414234.0,91.920071,24.239846,60740812414234.0,91.92003100000001,24.239843,0.52,0.1317476258498575,91.920051,24.2398445,3.4262734684827576e+18,91.92003000000001,24.239829999999998,0.9,0.08646869487938888,91.92004575,24.239840875,91.92002814092,24.23982586026,3.4262734684827576e+18,1.0,0.07913910227481122,0.8066666666666666,91.92001603224709,24.2398395870108,0.002,0.001,90.0,3.4262734684827576e+18,91.92002814092,0.0583,24.23982586026,0.0533,1.3162,0.0625,2.564,0.109,-3.188,0.091,False,5733.12,4.9463300000000014,16.292386999999998,2385.91,18.314,16.907251000000002,5222.63,31.9669,15.467197,1.4400540000000002,,,0.0,4468.33,0.398,0.181,0.69,0.17,0.181908,06074080+2414234,91.920036,24.239838,0.08,0.07,0.0,14.254732585409284,13.77944478687644,13.671766721767188,0.031009529924589142,0.03233511722267189,0.04110930615669921,AAA,222.0,0.0,2450821.6862,0.118446,1.3708091920018838e+17,91.92002877,24.23982747,0.008,0.006,0.0,503635968.0,60.0,55882.02240741,5.0,47.0,16.323729765951633,0.03521539257184623,115000.0,15.693986156195404,0.026144492288584852,115000.0,15.469113379389047,0.019539152756857924,115000.0,15.36679184407592,0.015429545397730412,115000.0,15.27850141966939,0.01594875766413159,115000.0,0.15384,0.16654285714285713,0.3702607142857143,,,0.0009363303393437089,0.008302176824270171,0.006625365416787788,1.2590540000000001,0.26861187647150814,17.22527450825121,0.005295992065309281,16.28285948013746,0.003558161852103337,15.88056858264246,0.001000896131836567,15.6526867750457,0.001996326753937227,15.59977276543767,0.010329089702141003,0.21227124333381653,0.009900327920913693,2
9,2060749522417423.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060749522417423.2,91.956388,24.295137,60749532417424.0,91.95638000000001,24.295120999999998,0.87,0.06329922706253137,91.956384,24.295129,,,,,,91.956384,24.295129,,,,,,0.87,91.95637300046819,24.2951214427428,0.001,0.001,90.0,3.42627532390859e+18,91.95638285234,0.0412,24.295110376680004,0.0376,0.4734,0.0415,2.086,0.081,-2.57,0.07,False,11554.9,6.979139999999999,15.531455,4586.81,15.0222,16.19761,10215.5,19.419,14.738768,1.458843,,,0.0,4448.3,,0.28856209677419353,2.75,2.67,0.074558,06074952+2417423,91.956369,24.295107,0.08,0.06,3.0,13.482679008504748,13.004130005031824,12.896402003246545,0.056258553226379314,0.054093993064878367,0.04404803633430663,AAA,222.0,0.0,2450821.6862,0.124702,1.371509195636447e+17,91.95638352,24.29511082,0.006,0.002,90.0,503635968.0,60.0,55747.94979167,5.0,46.0,15.572360037744044,0.024150099524960368,115000.0,14.940390028077363,0.017799821832173452,115000.0,14.675870021146537,0.013645597983894924,115000.0,14.555030016618968,0.010820318038120868,115000.0,14.47491001355052,0.009786290812097483,115000.0,0.095387,0.16654285714285713,0.3702607142857143,4929.64453125,145.55615234000015,0.0006555848598467637,0.0035500698778596325,0.0020619545934131385,1.1702809032258064,0.26843318205374744,16.54298433458349,0.003499090272130531,15.57545065046134,0.0008874384993829931,15.12261322864641,0.002600247500490665,14.866487120729763,0.0026525388072662576,14.823083382048871,0.005321550575675969,0.22999998927116394,0.006796351671218878,2
