,EPIC,todrop,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,RAJ2000_Curtis,DEJ2000_Curtis,2MASS_id_Curtis,PMem_Curtis,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,EPIC_Olivares,dist_Curtis_Olivares,RAJ2000_Curtis_Olivares,DEJ2000_Curtis_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Curtis_Olivares_GaiaC,RAJ2000_Curtis_Olivares_GaiaC,DEJ2000_Curtis_Olivares_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Curtis_Olivares_GaiaC_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,Gflux_Gaia,e_Gflux_Gaia,G_Gaia,BPflux_Gaia,e_BPflux_Gaia,BP_Gaia,RPflux_Gaia,e_RPflux_Gaia,RP_Gaia,BPRP_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,Ext_BPRP_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,J_2MASS,H_2MASS,K_2MASS,e_J_2MASS,e_H_2MASS,e_K_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,g_PS1,e_g_PS1,gFlags_PS1,r_PS1,e_r_PS1,rFlags_PS1,i_PS1,e_i_PS1,iFlags_PS1,z_PS1,e_z_PS1,zFlags_PS1,y_PS1,e_y_PS1,yFlags_PS1,angDist_PS1,elo_Ext_BPRP_Gaia,eup_Ext_BPRP_Gaia,Teff_StarHorse,e_Teff_StarHorse,e_G_Gaia,e_BP_Gaia,e_RP_Gaia,BPRP_Gaia_corr,e_BPRP_Gaia_corr,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,i_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,y_SDSS,e_y_SDSS,bayestar2019_ext,bayestar2019_ext_err,bayestar2019_flags
0,219688088.0,BP-RP outlier,KTWO219688088-C07,7.0,9.0,288.858825,-16.099185000000002,LC,-1.88,0.71,-27.79,0.46,5.48,0.65,,,8.687000000000001,0.016,7.407,0.01,9.583,0.03,8.515,0.04,7.232,0.06,,,,,,,,,7.937,gri,94635.0,6296-522-1,,370-168150,,,1.0,0.0004,1.0,2936.461,2306.221,1974.728,10.0,4.0,32.0,,,0.000671,288.858825,-16.099185000000002,288.8588333,-16.099194400000002,191526121605571.0,0.9,,,,,,288.8588333,-16.099194400000002,,,,,,288.8588333,-16.099194400000002,,,,,,0.9,288.85881123764,-16.099187168362,0.001,0.001,90.0,4.1841438812145377e+18,288.85881889497,0.0458,-16.09929669461,0.0433,3.1630000000000003,0.049,1.709,0.085,-25.438000000000002,0.071,False,28762600.0,8187.0,7.041295,11428100.0,19624.2,7.7064520000000005,24160100.0,54858.2,6.304172,1.4022809999999999,40.56,1.89,7.0,4500.0,0.154,0.066,19.86,145.754,0.048237,19152612-1605571,288.8588529999999,-16.099195,0.08,0.08,90.0,,,4.528870000901818,0.030566455473671393,0.07621458112840268,0.02428161652888538,EEA,111.0,0.0,2451319.7863,0.10332100000000001,8.868288858849114e+16,288.85881877,-16.09929333,0.001,0.001,90.0,1409359872.0,168.0,51319.28629630001,1.0,5.0,,,114788.0,,,68.0,,,68.0,,,68.0,,,68.0,0.390583,0.2030153846153846,0.4633076923076923,,,0.00030900048934555624,0.0018628146002355977,0.0024624904492570056,1.3362809999999998,0.33317584643474185,,,,,,,,,,,0.04999999701976776,0.012185715883970258,10
1,219697419.0,BP-RP outlier,KTWO219697419-C07,7.0,9.0,289.349355,-16.073432,LC,-2.38,1.02,-27.74,0.67,4.92,0.79,,,9.034,0.02,7.644,0.011,,,,,,,,,,,,,,,7.369,BV,94803.0,6296-1651-1,,370-168945,,,0.999,0.001,1.0,157.607,161.025,159.476,10.0,4.0,32.0,,,0.004,289.349355,-16.073432,289.3493333,-16.0734167,191723841604243.0,0.9,289.349343101,-16.0734300125,0.444941910789344,219697419.0,0.05870524668317766,289.3493382005001,-16.07342335625,4.183949198935967e+18,289.34934,-16.073539999999998,0.9,0.4199636374797285,289.349338650375,-16.073452517187498,289.3493406942,-16.07354390629,4.183949198935967e+18,1.0,0.3290767278721557,0.8112354776973361,289.34934310142484,-16.0734300124901,0.001,0.001,90.0,4.183949198935967e+18,289.3493406942,0.0397,-16.07354390629,0.0387,3.2373,0.0489,-0.537,0.077,-26.45300000000001,0.065,False,25289700.0,8131.16,7.181005,9278210.0,13318.1,7.932728,22496600.0,46216.2,6.381629,1.551099,38.51,0.17,14.0,4239.41,0.27699999999999997,0.1452,21.78,138.037,0.041777999999999996,19172384-1604243,289.34937,-16.073427,0.09,0.09,90.0,,,4.410714000180364,0.03787315614728667,0.252045402144639,0.026182563007323457,EDA,131.0,0.0,2451319.8057,0.054922000000000006,8.871289349513186e+16,289.34943327,-16.07369683,0.126,0.126,90.0,268959744.0,32.0,56011.15673611,0.0,7.0,,,16.0,,,24.0,,,24.0,,,0.0,,,24.0,0.9910889999999999,0.053,0.3671,4256.79492188,170.82763670999975,0.00034903046945652537,0.0015573666952070119,0.002228209130206752,1.405899,0.21006759104381445,,,,,,,,,,,0.10999999940395355,0.010199999958276744,10
2,219511589.0,BP-RP outlier,KTWO219511589-C07,7.0,9.0,289.081905,-16.569295,SC,-0.3,1.3,-26.6,1.3,,,,,8.245,0.015,8.207,0.012,,,,,,,,,8.052,0.03,8.087,0.021,8.072000000000001,0.021,8.312000000000001,BV,,6296-1814-1,,368-170021,19161966-1634094,AAA-111-111-000-0-0,0.987,0.013,1.0,,,,10.0,4.0,32.0,,,0.003,289.081905,-16.569295,289.0819167,-16.569277800000002,191619661634094.0,0.9,289.081905752,-16.569294336800002,0.5592533351626011,219511589.0,0.07050643892157414,289.081911226,-16.569286068400007,4.087842738668571e+18,289.0819,-16.56941,0.9,0.4478321243027691,289.0819084195,-16.569317051300008,289.08190109796004,-16.56940881145,4.087842738668571e+18,1.0,0.33130114917129605,0.8398133337906503,289.0819057523963,-16.5692943367917,0.002,0.002,90.0,4.087842738668571e+18,289.08190109796004,0.0821,-16.56940881145,0.0634,3.1293,0.0908,-1.036,0.15,-26.588,0.12,True,10102300.0,5391.86,8.17732,7130230.0,12185.7,8.218629,4482280.0,5179.34,8.133173,0.08545599999999999,,,0.0,9062.5,,0.2595666666666666,,,0.003527,19161966-1634094,289.081938,-16.569279,0.06,0.06,90.0,7.980657003071158,8.044790001817047,8.044766001172365,0.03191267020823215,0.02196479458559987,0.021406914424702585,AAA,111.0,0.0,2451319.7963,0.127607,8.8112890819707e+16,289.08190117,-16.56940523,0.001,0.001,90.0,1409359872.0,168.0,51319.2962963,1.0,4.0,,,68.0,,,114788.0,,,68.0,,,68.0,,,68.0,0.397048,0.2030153846153846,0.4633076923076923,,,0.0005793310351072732,0.0018539602485978372,0.001253859753684375,-0.17411066666666664,0.33316905625064347,,,,,,,,,,,0.08999999612569809,0.013727800399065022,10
3,219511589.0,BP-RP outlier,KTWO219511589-C07,7.0,9.0,289.081905,-16.569295,LC,-0.3,1.3,-26.6,1.3,,,,,8.245,0.015,8.207,0.012,,,,,,,,,8.052,0.03,8.087,0.021,8.072000000000001,0.021,8.312000000000001,BV,,6296-1814-1,,368-170021,19161966-1634094,AAA-111-111-000-0-0,0.987,0.013,1.0,70.18,53.076,46.82899999999999,10.0,4.0,32.0,,,0.003,289.081905,-16.569295,289.0819167,-16.569277800000002,191619661634094.0,0.9,289.081905752,-16.569294336800002,0.5592533351626011,219511589.0,0.07050643892157414,289.081911226,-16.569286068400007,4.087842738668571e+18,289.0819,-16.56941,0.9,0.4478321243027691,289.0819084195,-16.569317051300008,289.08190109796004,-16.56940881145,4.087842738668571e+18,1.0,0.33130114917129605,0.8398133337906503,289.0819057523963,-16.5692943367917,0.002,0.002,90.0,4.087842738668571e+18,289.08190109796004,0.0821,-16.56940881145,0.0634,3.1293,0.0908,-1.036,0.15,-26.588,0.12,True,10102300.0,5391.86,8.17732,7130230.0,12185.7,8.218629,4482280.0,5179.34,8.133173,0.08545599999999999,,,0.0,9062.5,,0.2595666666666666,,,0.003527,19161966-1634094,289.081938,-16.569279,0.06,0.06,90.0,7.980657003071158,8.044790001817047,8.044766001172365,0.03191267020823215,0.02196479458559987,0.021406914424702585,AAA,111.0,0.0,2451319.7963,0.127607,8.8112890819707e+16,289.08190117,-16.56940523,0.001,0.001,90.0,1409359872.0,168.0,51319.2962963,1.0,4.0,,,68.0,,,114788.0,,,68.0,,,68.0,,,68.0,0.397048,0.2030153846153846,0.4633076923076923,,,0.0005793310351072732,0.0018539602485978372,0.001253859753684375,-0.17411066666666664,0.33316905625064347,,,,,,,,,,,0.08999999612569809,0.013727800399065022,10
4,219622634.0,BP-RP outlier,KTWO219622634-C07,7.0,9.0,289.16973,-16.278071,SC,0.9,1.4,-25.3,1.4,,,,,8.519,0.017,8.375,0.013,,,,,,,,,7.954,0.032,7.98,0.031,7.9,0.023,8.44,BV,,6296-1802-1,,369-165846,19164073-1616411,AAA-111-111-000-0-0,1.0,0.0,1.0,,,,10.0,4.0,32.0,,,0.002,289.16973,-16.278071,289.1697083,-16.278083300000002,191640731616411.0,0.9,,,,,,289.1697083,-16.278083300000002,,,,,,289.1697083,-16.278083300000002,,,,,,0.9,289.1697344268806,-16.2780805285696,0.002,0.001,90.0,4.183939062813244e+18,289.16971974981004,0.052000000000000005,-16.27819322148,0.0566,3.3413,0.0777,-3.272,0.107,-26.174,0.09,True,8916180.0,6613.91,8.31292,5915850.0,10191.2,8.421345,4366690.0,8030.75,8.161539999999999,0.259805,,,0.0,7994.0,0.789,0.375,2.98,32.746,0.037558999999999995,19164073-1616411,289.169738,-16.278086,0.06,0.06,90.0,7.874042242263258,7.932693088963628,7.869477459958196,0.03242603410419133,0.031154582589776107,0.02308678596024585,AAA,111.0,0.0,2451319.7961,0.060665,8.846289169849654e+16,289.16972039,-16.27818955,0.001,0.001,90.0,1409359872.0,168.0,51319.29609954,3.0,33.0,,,68.0,,,114788.0,,,68.0,,,114788.0,,,114788.0,0.42807,0.2030153846153846,0.4633076923076923,,,0.0008050868740852239,0.0018687821657500745,0.0019949362245500627,-0.11519499999999999,0.33317275222830306,,,,,,,,,,,0.1008676141500473,0.006609125882387157,10
5,219622634.0,BP-RP outlier,KTWO219622634-C07,7.0,9.0,289.16973,-16.278071,LC,0.9,1.4,-25.3,1.4,,,,,8.519,0.017,8.375,0.013,,,,,,,,,7.954,0.032,7.98,0.031,7.9,0.023,8.44,BV,,6296-1802-1,,369-165846,19164073-1616411,AAA-111-111-000-0-0,1.0,0.0,1.0,,,,10.0,4.0,32.0,,,0.002,289.16973,-16.278071,289.1697083,-16.278083300000002,191640731616411.0,0.9,,,,,,289.1697083,-16.278083300000002,,,,,,289.1697083,-16.278083300000002,,,,,,0.9,289.1697344268806,-16.2780805285696,0.002,0.001,90.0,4.183939062813244e+18,289.16971974981004,0.052000000000000005,-16.27819322148,0.0566,3.3413,0.0777,-3.272,0.107,-26.174,0.09,True,8916180.0,6613.91,8.31292,5915850.0,10191.2,8.421345,4366690.0,8030.75,8.161539999999999,0.259805,,,0.0,7994.0,0.789,0.375,2.98,32.746,0.037558999999999995,19164073-1616411,289.169738,-16.278086,0.06,0.06,90.0,7.874042242263258,7.932693088963628,7.869477459958196,0.03242603410419133,0.031154582589776107,0.02308678596024585,AAA,111.0,0.0,2451319.7961,0.060665,8.846289169849654e+16,289.16972039,-16.27818955,0.001,0.001,90.0,1409359872.0,168.0,51319.29609954,3.0,33.0,,,68.0,,,114788.0,,,68.0,,,114788.0,,,114788.0,0.42807,0.2030153846153846,0.4633076923076923,,,0.0008050868740852239,0.0018687821657500745,0.0019949362245500627,-0.11519499999999999,0.33317275222830306,,,,,,,,,,,0.1008676141500473,0.006609125882387157,10
6,219310397.0,BP-RP outlier,KTWO219310397-C07,7.0,9.0,289.26429,-17.053827,LC,-0.6,1.5,-28.6,1.5,,,,,9.484,0.024,8.375,0.014,,,,,,,,,6.425,0.02,5.926,0.04,5.718,0.02,8.175,BV,,6300-1976-1,,365-170581,19170343-1703138,AAA-111-111-000-0-0,1.0,0.0005,1.0,203.792,189.06,174.877,10.0,1.0,29.0,,,0.003,289.26429,-17.053827,289.2642917,-17.0538333,191703431703138.0,0.9,289.264295056,-17.0538226045,0.447461998885178,219310397.0,0.04019892552287932,289.264293378,-17.05382795225,4.087762027643173e+18,289.26429,-17.05394,0.9,0.4035394100999362,289.2642925335,-17.053855964187502,289.26428891036,-17.05393680026,4.087762027643173e+18,1.0,0.2912769037172324,0.8118654997212945,289.2642950561805,-17.0538226045244,0.002,0.001,90.0,4.087762027643173e+18,289.26428891036,0.0628,-17.05393680026,0.0596,3.2907,0.0677,-1.365,0.10800000000000001,-26.523000000000003,0.09300000000000001,False,11593300.0,3801.38,8.027846,4927140.0,6538.81,8.6199,9328630.0,22085.9,7.337376,1.282524,41.77,0.19,10.0,4741.38,0.09699999999999999,0.0523,10.47,49.893,0.023521,19170343-1703138,289.264299,-17.053839,0.06,0.06,90.0,6.393292000708729,5.907240000419319,5.705896000270545,0.02084249785184403,0.04015028097946611,0.020124964474480093,AAA,111.0,0.0,2451745.5765,0.053157,8.753289264099573e+16,289.26428909,-17.05393326,0.001,0.001,90.0,1140924416.0,136.0,51745.07649306,2.0,23.0,,,68.0,,,68.0,,,68.0,,,68.0,,,98404.0,0.382549,0.2030153846153846,0.4633076923076923,,,0.0003559486412831167,0.0014399258176024863,0.002567485237167608,1.230224,0.3331745429603865,,,,,,,,,,,0.03999999910593033,0.007399999499320985,10
148,219624547.0,BP-RP outlier,KTWO219624547-C07,7.0,9.0,289.540755,-16.272873,LC,-2.4,1.3,-29.1,1.3,,,,,9.771,0.033,8.613,0.017,,,,,,,,,6.537000000000001,0.024,6.022,0.034,5.834,0.016,8.4,BV,,6296-1228-1,,369-166355,19180978-1616222,AAA-111-111-000-0-0,0.999,0.001,1.0,172.479,164.65599999999995,156.667,10.0,4.0,32.0,,,0.003,289.540755,-16.272873,289.54075,-16.272833300000002,191809781616222.0,0.9,289.540766954,-16.2728696879,0.4741862684330061,219624547.0,0.1435018032524206,289.540758477,-16.27285149395,4.183930438518525e+18,289.5407600000001,-16.27299,0.9,0.4986495565096094,289.54075885775,-16.272886120462502,289.54076137818,-16.27298601989,4.183930438518525e+18,1.0,0.35974339739970673,0.8185465671082515,289.5407669544702,-16.2728696879231,0.001,0.001,90.0,4.183930438518525e+18,289.54076137818,0.0429,-16.27298601989,0.0395,3.3677,0.0418,-1.2429999999999999,0.084,-27.019000000000002,0.077,False,9477080.0,4410.52,8.246678999999999,3885930.0,5610.19,8.877651,7826520.0,13458.8,7.5279979999999975,1.349653,41.62,0.14,8.0,4567.67,0.304,0.146,10.26,41.275,0.042998,19180978-1616222,289.540766,-16.272858,0.06,0.06,90.0,6.50529200070873,6.003240000419319,5.821896000270545,0.029270858772418158,0.035415923983585465,0.017231245319077066,AAA,111.0,0.0,2451319.8087,0.066038,8.847289540929296e+16,289.54076175,-16.27298217,0.001,0.001,90.0,1409359872.0,168.0,51319.30869213,2.0,22.0,,,68.0,,,68.0,,,114788.0,,,114788.0,,,68.0,0.393704,0.2030153846153846,0.4633076923076923,,,0.0005051711390526797,0.0015663672907108449,0.001865472332264735,1.203653,0.3331704431722163,,,,,,,,,,,0.03999999910593033,0.021138622388243676,10
149,219561713.0,BP-RP outlier,KTWO219561713-C07,7.0,9.0,289.1828700000001,-16.44003,SC,-0.4,1.4,-24.9,1.4,,,,,9.599,0.022,9.181,0.018000000000000002,,,,,,,,,8.437000000000001,0.029,8.351,0.029,8.297,0.027000000000000003,9.142,BV,,6296-2013-1,,368-170183,19164388-1626239,AAA-111-111-000-0-0,0.965,0.035,1.0,,,,10.0,4.0,32.0,,,0.004,289.1828700000001,-16.44003,289.1828333,-16.4399722,191643881626239.0,0.9,,,,,,289.1828333,-16.4399722,,,,,,289.1828333,-16.4399722,,,,,,0.9,289.1828801392064,-16.4400252959453,0.001,0.001,90.0,4.183932259584775e+18,289.18287240933,0.0415,-16.440148561420006,0.0395,3.1255,0.0496,-1.722,0.079,-28.629,0.069,False,4233830.0,1989.68,9.121533,2542270.0,7911.92,9.338333,2393210.0,6526.33,8.814467,0.5238659999999999,,,0.0,6748.48,,0.2595666666666666,3.0,16.771,0.03889,19164388-1626239,289.182873,-16.43998,0.06,0.06,90.0,8.39736500236243,8.32755000139773,8.281870000901819,0.030620559830968768,0.029577376589420338,0.02725948103101241,AAA,111.0,0.0,2451319.7962,0.180298,8.827289183083227e+16,289.18287262,-16.44014478,0.001,0.001,90.0,1343750144.0,160.0,55879.04118056,1.0,19.0,,,88.0,,,88.0,,,88.0,,,88.0,,,114808.0,0.413307,0.2030153846153846,0.4633076923076923,7816.35253906,1053.2636718799997,0.0005101197176369076,0.0033737245004833542,0.0029567938619114143,0.26429933333333333,0.3331917396290102,,,,,,,,,,,0.04999999701976776,0.012400000467896456,10
150,219561713.0,BP-RP outlier,KTWO219561713-C07,7.0,9.0,289.1828700000001,-16.44003,LC,-0.4,1.4,-24.9,1.4,,,,,9.599,0.022,9.181,0.018000000000000002,,,,,,,,,8.437000000000001,0.029,8.351,0.029,8.297,0.027000000000000003,9.142,BV,,6296-2013-1,,368-170183,19164388-1626239,AAA-111-111-000-0-0,0.965,0.035,1.0,,,,10.0,4.0,32.0,,,0.004,289.1828700000001,-16.44003,289.1828333,-16.4399722,191643881626239.0,0.9,,,,,,289.1828333,-16.4399722,,,,,,289.1828333,-16.4399722,,,,,,0.9,289.1828801392064,-16.4400252959453,0.001,0.001,90.0,4.183932259584775e+18,289.18287240933,0.0415,-16.440148561420006,0.0395,3.1255,0.0496,-1.722,0.079,-28.629,0.069,False,4233830.0,1989.68,9.121533,2542270.0,7911.92,9.338333,2393210.0,6526.33,8.814467,0.5238659999999999,,,0.0,6748.48,,0.2595666666666666,3.0,16.771,0.03889,19164388-1626239,289.182873,-16.43998,0.06,0.06,90.0,8.39736500236243,8.32755000139773,8.281870000901819,0.030620559830968768,0.029577376589420338,0.02725948103101241,AAA,111.0,0.0,2451319.7962,0.180298,8.827289183083227e+16,289.18287262,-16.44014478,0.001,0.001,90.0,1343750144.0,160.0,55879.04118056,1.0,19.0,,,88.0,,,88.0,,,88.0,,,88.0,,,114808.0,0.413307,0.2030153846153846,0.4633076923076923,7816.35253906,1053.2636718799997,0.0005101197176369076,0.0033737245004833542,0.0029567938619114143,0.26429933333333333,0.3331917396290102,,,,,,,,,,,0.04999999701976776,0.012400000467896456,10
