EPIC,Channel,Campaign
211102725,52,4
211002561,50,4
210927331,48,4
211111611,52,4
211131748,31,4
211103863,52,4
211041750,49,4
211107734,52,4
211099232,51,4
211124025,31,4
211091381,51,4
211029757,51,4
211023807,49,4
211069615,51,4
211007344,27,4
211147344,32,4
211042045,51,4
211056865,49,4
211090925,30,4
211117529,52,4
211088075,51,4
211010818,72,4
211038660,51,4
211115713,52,4
211027879,49,4
210804191,42,4
211008438,72,4
211096432,52,4
211142460,31,4
211084069,52,4
211064559,49,4
211056415,51,4
210956678,69,4
210863683,45,4
211093117,52,4
210876759,65,4
211018106,50,4
210963935,48,4
210957162,50,4
211027607,50,4
210862226,65,4
210947280,27,4
211062206,30,4
211048321,49,4
211089274,51,4
210998478,50,4
210958195,48,4
211025925,72,4
211022539,49,4
211101996,52,4
211053922,51,4
211107267,52,4
211143325,31,4
211046168,49,4
210967582,27,4
210860152,46,4
211063935,51,4
211001714,49,4
211095292,51,4
211115321,52,4
211090866,52,4
211059727,52,4
211113286,52,4
211134185,52,4
211112171,52,4
211103222,52,4
211064137,52,4
211139534,31,4
211093684,52,4
211055718,30,4
211094777,52,4
211067949,30,4
211116507,30,4
210846442,45,4
211113696,52,4
211139723,52,4
211016654,49,4
211135624,32,4
211065077,51,4
211074151,52,4
211059949,30,4
211114329,52,4
211070599,51,4
211029076,49,4
211051561,72,4
211093040,51,4
211135523,31,4
210839388,22,4
211100131,52,4
210974237,27,4
210941338,25,4
211089267,52,4
211024158,50,4
211078239,52,4
210917754,48,4
211030074,28,4
211031293,49,4
211054634,51,4
210971138,71,4
211027775,49,4
210927034,47,4
211111496,52,4
210939705,48,4
211147423,31,4
210912544,26,4
211060049,49,4
210936682,47,4
211002985,50,4
210977779,50,4
211118414,52,4
211042656,49,4
210957703,25,4
211081593,51,4
210965110,50,4
211105906,51,4
211093202,52,4
210980418,27,4
210917230,48,4
211119999,52,4
211018906,49,4
211120664,52,4
211011793,50,4
211051975,72,4
211057696,51,4
210931244,48,4
210918923,47,4
210840112,45,4
211065006,30,4
210997197,49,4
211094095,52,4
210977069,25,4
210770541,41,4
211020925,72,4
210946466,69,4
211071563,51,4
210991540,71,4
211121734,52,4
211000740,27,4
210776021,42,4
211100398,52,4
211081065,51,4
211021827,49,4
211083408,52,4
211013159,72,4
211016037,49,4
211041474,49,4
211053737,49,4
210983198,50,4
211107116,52,4
210922592,47,4
210871940,45,4
211100894,52,4
211047980,49,4
210917578,26,4
210927253,48,4
210950170,48,4
210931786,48,4
211005163,50,4
211038945,49,4
211039307,51,4
210872505,65,4
211096320,52,4
211025056,72,4
210992480,50,4
210940839,26,4
210892390,45,4
211125210,31,4
211086170,30,4
210949782,48,4
210822528,66,4
210942652,47,4
211098117,52,4
210931896,69,4
211000411,49,4
210992697,50,4
210879932,45,4
211034305,28,4
210763843,41,4
211035702,50,4
211155318,31,4
211038382,49,4
211105839,51,4
211117626,52,4
211112685,52,4
211029446,28,4
210802674,66,4
210991032,50,4
211072441,51,4
211136223,31,4
211000470,50,4
210832378,65,4
211052320,10,4
210940618,25,4
210948982,26,4
211063098,49,4
211127799,29,4
210997527,50,4
210762863,66,4
211121141,52,4
211108136,51,4
210964488,69,4
210960667,70,4
211096385,52,4
211057160,30,4
210949562,26,4
211049716,72,4
210946764,70,4
211004088,27,4
211101761,52,4
211071722,52,4
211106535,31,4
210868642,46,4
210951703,47,4
211110500,52,4
210988354,50,4
211029135,72,4
211147822,31,4
210908248,45,4
211137552,29,4
210965731,48,4
211140155,31,4
210949142,48,4
211122237,52,4
211088648,52,4
210914325,26,4
210848775,65,4
211069418,51,4
211046494,49,4
211046046,51,4
211142685,31,4
211149600,31,4
210881103,47,4
211023137,49,4
211131087,52,4
210886244,45,4
210769047,42,4
211037397,72,4
211158590,31,4
210833622,46,4
211071827,49,4
210990028,50,4
211066337,51,4
211009416,27,4
211152884,32,4
210949721,48,4
210803812,68,4
210833209,22,4
211125179,52,4
210982519,69,4
210751596,42,4
211003258,50,4
211063081,51,4
211101718,29,4
211137863,31,4
210776828,41,4
211182030,32,4
211004557,50,4
210946926,69,4
211029507,72,4
211029542,28,4
210909923,45,4
211007016,50,4
211141632,32,4
210909844,26,4
210898261,70,4
210820939,68,4
211038138,28,4
210909681,70,4
210802990,66,4
210784223,42,4
211095280,30,4
211149000,32,4
210870064,45,4
210998712,71,4
210849830,45,4
211020742,49,4
210829407,46,4
210902186,47,4
210892321,26,4
211143760,29,4
210923951,25,4
210777825,42,4
210813780,68,4
210989751,72,4
211130173,31,4
211081656,52,4
210904850,70,4
210830104,46,4
210899735,70,4
211049396,51,4
210932705,26,4
211027094,49,4
210904675,47,4
210873256,45,4
211115421,29,4
210953848,69,4
210763143,42,4
210847576,46,4
210963351,48,4
211065162,72,4
210882573,45,4
210784603,81,4
211016175,72,4
211000887,28,4
210868183,47,4
