        B,        I,        MP,        R,        V,       Kp,      DEC,    PM_RA,   PM_DEC,  H_2MASS,  J_2MASS,  K_2MASS ID,RA
17.4022,15.4388,98.9123,15.8042,16.3006,15.941370000000001,11.510606,-2.0024,-1.0295,13.583,14.140999999999998,   13.479  0000127,132.78847
11.8847,11.4702,2.9549,11.1329,11.3812,11.36614,11.508617999999998,11.8873,-3.7013,10.104,10.331,   10.058  0000128,132.42671
-99.999,17.4526,-1.0,18.9783,19.1588,18.721829999999997,11.510013,-999.9999,-999.9999,15.384,16.116,   15.103  0000133,132.48883999999998
-99.999,17.3814,41.0757,18.6906,19.0042,18.54185,11.512656,8.88,-1.3748,15.273,15.808,   14.919  0000137,132.72673
19.0119,14.0567,-1.0,16.3045,17.141,15.74194,11.513653999999999,-999.9999,-999.9999,-99.999,-99.999,  -99.999  0000139,132.74837
14.8377,13.9603,99.3023,13.9463,14.2392,14.134070000000001,11.520667999999999,-0.1641,0.5912,12.75,13.009,   12.643  0000159,132.73005
14.03,13.2272,99.1307,13.2432,13.4498,13.36074,11.522206,-0.0048,0.1754,12.014000000000001,12.251,   11.923  0000164,132.72106000000002
20.6838,17.4843,82.933,18.4418,19.1188,18.449579999999997,11.523758,-2.0945,1.688,15.262,16.102,   15.144  0000165,132.80968000000001
-99.999,17.8144,68.5024,18.941,19.2357,18.85491,11.525902,-1.9773,8.2135,15.88,16.412,   15.179  0000169,132.88443
15.7352,14.6596,99.3387,14.689,14.9784,14.877220000000001,11.529721,-0.7523,-0.49,13.262,13.64,   13.148  0000178,132.89838999999998
19.678,16.5666,88.9204,17.5116,18.4268,17.53464,11.530510000000001,-0.025,3.7386,14.585,15.17,   14.283  0000187,132.64323000000002
12.005,11.4268,93.5954,11.1262,11.6193,11.3829,11.530417,-11.1099,-6.8949,9.805,10.144,    9.725  0000194,132.3867
13.7958,13.016,99.2784,13.0816,13.2484,13.19651,11.535266,0.0919,-0.2096,11.86,12.174000000000001,   11.802  0000195,132.92646000000002
18.6342,15.7136,0.073,16.5053,17.1533,16.147560000000002,11.532458,-14.3264,-9.524,12.72,13.341,   12.468  0000197,132.38146
18.9358,16.4605,97.6057,17.0097,17.6369,17.09831,11.540194999999999,-0.6594,-1.1977,14.395,15.113,   14.196  0000208,132.80516
15.3067,13.971,0.0,14.146,14.4544,14.286,11.540205,14.7403,2.7637,12.444,12.883,   12.341  0000211,132.54887
14.3662,13.6393,0.0,13.6426,13.7958,13.833329999999998,11.546608,10.4131,-5.06,12.360999999999999,12.63,   12.313  0000227,132.46746000000002
13.2869,12.5849,99.3296,12.5349,12.7343,12.69201,11.549984,-0.4107,-1.1125,11.402999999999999,11.635,   11.300  0000228,132.85805
16.6748,15.0189,98.9717,15.2868,15.6881,15.43045,11.551969,0.2231,-0.4314,13.287,13.834000000000001,   13.184  0000230,132.83953
15.8572,14.5198,0.0,14.6902,15.0439,14.8504,11.551466,13.7795,2.8644,13.014000000000001,13.445,   12.925  0000231,132.74652
18.7106,16.2398,0.0002,16.8098,17.4328,16.91187,11.552429,-6.0973,12.2062,14.309000000000001,14.939,   14.093  0000232,132.88965
19.656,18.1129,53.443,18.277,18.7985,18.28037,11.5525,4.9764,4.27,-99.999,-99.999,  -99.999  0000234,132.71071
19.2909,16.6862,95.6515,17.3049,17.9104,17.4205,11.553261000000001,-0.0123,-0.8082,14.800999999999998,15.382,   14.629  0000235,132.76379
13.3535,11.9546,0.0,12.0711,12.4298,12.24283,11.551516000000001,31.4484,-38.3984,10.269,10.725,   10.180  0000236,132.46903999999998
15.4246,13.7898,95.8397,14.0818,15.166,14.21125,11.553044,-0.6889,-2.7371,12.097000000000001,12.610999999999999,   12.005  0000237,132.71264
13.0361,11.7318,84.6038,11.7116,12.0392,11.860619999999999,11.554342,2.683,0.3363,9.736,10.238999999999999,    9.651  0000238,132.9518
13.3311,12.5891,99.1138,12.5804,12.6674,12.70048,11.555104,-0.8283,-1.4387,11.372,11.632,   11.319  0000241,132.95797
18.1544,16.9235,7.8584,17.0699,17.3977,17.244889999999998,11.554735,7.7403,0.095,15.522,15.84,   15.417  0000245,132.74618
-99.999,17.6602,69.1185,19.0255,19.3668,18.938579999999998,11.554507000000001,-5.0004,2.4739,15.505,16.236,   14.995  0000246,132.69437
20.2871,17.2369,0.1321,18.1122,18.8183,18.14826,11.555193,17.2875,16.3093,15.255,15.762,   14.995  0000251,132.63608
16.8192,15.3491,99.5122,15.5153,15.8805,15.70416,11.557007,-0.4638,-0.2396,13.779000000000002,14.245,   13.682  0000253,132.76221
20.3841,16.7889,1.5074,18.0149,18.8684,17.945429999999998,11.556567999999999,-4.8612,19.4869,14.818,15.417,   14.603  0000254,132.65046
19.4727,16.6754,95.502,17.4205,18.2119,17.4826,11.557199,-0.7846,1.6474,14.659,15.364,   14.553  0000255,132.67479
13.9138,13.2208,99.3302,13.1403,13.3512,13.309829999999998,11.558452,-1.0468,-0.8619,12.027999999999999,12.274000000000001,   11.941  0000258,132.8085
14.7661,14.0179,96.3434,14.0294,14.22,14.16535,11.557153,0.5805,2.0356,12.797,13.099,   12.797  0000259,132.53757
15.5388,14.561,99.4224,14.5409,14.8073,14.739220000000001,11.559123,0.0598,0.276,13.187999999999999,13.525,   13.158  0000261,132.78871
17.7502,15.3553,0.0,15.8715,16.5252,16.00666,11.561855,21.7224,-15.0162,13.417,14.008,   13.229  0000270,132.47536000000002
19.8044,18.7052,31.7855,18.7576,19.2094,22.24813,11.563794,11.9811,5.4723,-99.999,-99.999,  -99.999  0000271,132.75547
