C.D.S.  -  SIMBAD4 rel 1.7  -  2018.12.14CET11:51:46

 IdentList
----------

 # 	  typed ident  	       identifier        	typ	                all types                	     coord1 (ICRS,J2000/2000)      
---	---------------	-------------------------	---	-----------------------------------------	-----------------------------------
41 	TYC 649-1241-1 	HD 20439                 	PM*	PM*,X,**,*,*,*iC,IR                      	049.3865840250293 +07.6901542955386
42 	TYC 1247-684-1 	BD+20 598                	** 	**,*,*,*iC,PM*,PM*,IR,X                  	054.3957406284144 +21.3431805177656
43 	TYC 1798-1193-1	BD+23 465                	PM*	*,*,*iC,PM*,PM*,IR                       	053.2086620907580 +23.6921871797457
44 	TYC 1792-913-3 	BD+25 522A               	PM*	**,*,*,PM*,IR                            	049.3452706 +26.3150231            
45 	TYC 1830-1358-1	HD 284574                	PM*	*,*,*iC,PM*,IR                           	070.0243471632433 +23.3045455102757
46 	TYC 2344-1916-1	HD 19902                 	BY*	**,*,*,PM*,PM*,V*,BY*,IR                 	048.2616400910110 +32.8964490172018
47 	TYC 1805-247-1 	LP 355-64                	Ro*	**,*,*,PM*,PM*,Ro*,IR                    	050.6172490125048 +27.1560528262764
48 	TYC 1835-658-1 	V* V808 Tau              	RS*	SB*,SB*,*,*,*iC,V*,Fl*,RS*,IR,X          	072.3041083033345 +24.8028410398870
49 	TYC 1830-1020-1	HD 29419                 	PM*	*,*,*iC,PM*,IR,UV,X                      	069.7137170294693 +23.1499742362696
50 	TYC 1838-564-1 	HD 283750                	BY*	UV,**,SB*,*,*,*iC,PM*,PM*,V*,Fl*,BY*,IR,X	069.2010055708642 +27.1321939755033
51 	TYC 1794-435-1 	V* BW Ari                	BY*	*,*,*iC,PM*,PM*,V*,BY*,IR                	044.4444691912169 +29.6614628898914
52 	TYC 1278-1315-1	HD 284552                	PM*	*,*,*iC,PM*,IR                           	068.4049191453702 +21.1508511525781
53 	TYC 1277-808-1 	HD 28033                 	SB*	SB*,SB*,*,*,*iC,PM*,IR,UV,X              	066.5770776109862 +21.4704327047764
54 	TYC 1277-747-1 	HD 27808                 	PM*	*,*,*iC,PM*,IR,UV,X                      	066.0607231240487 +21.7362457974275
55 	TYC 1276-639-1 	HD 27732                 	SB*	SB*,*,*,*iC,PM*,IR                       	065.8430408619706 +21.3790981872277
56 	TYC 1842-1264-1	HD 29537                 	PM*	*,PM*,IR,UV                              	070.0945512670231 +29.9722061709215
