HIP,TYC,source_id,c,p,RV,e_RV,s_RV,plx_mod,e_plx_mod
,1804-812-1,67351752990540544,0.4332,0.9333,35.28,1.092,8.0,22.658,0.158
,1266-1286-1,3312644881687518976,0.23199999999999998,0.9723,40.73,1.078,8.0,21.223000000000003,0.161
,1265-433-1,3312921374502681984,0.4752,0.9243,40.04,1.085,8.0,23.496,0.207
,677-227-1,3306303998130681728,6.6793,0.0829,41.211999999999996,1.005,10.0,,
,1266-1175-1,3309956850635519488,0.2382,0.9712,40.8,1.051,8.0,20.323,0.158
,1269-57-1,3314484089763294592,1.4393,0.6963,38.135,3.9410000000000003,8.0,20.643,0.14300000000000002
,1266-149-1,3313259165090609280,0.5251,0.9134,39.41,1.334,8.0,20.578000000000003,0.2
,1266-944-1,3312602344331419136,0.8486,0.8378,40.16,1.091,8.0,19.099,0.161
,1265-569-1,3313630078465745280,1.0615,0.7864,34.96,3.4189999999999996,8.0,17.596,0.142
,680-594-1,3310876798270577792,3.9617,0.2656,40.532,1.002,10.0,,
,697-59-1,3391728561185367168,0.4726,0.9249,42.738,1.119,2.0,23.346999999999998,0.21
,1271-879-1,3406216379227986048,3.8488,0.2783,43.56,1.673,8.0,,
,1280-58-1,3405988677241799040,0.1327,0.9876,41.31,1.113,8.0,20.579,0.16699999999999998
,1280-681-1,3405127244241184256,0.2718,0.9652,41.86600000000001,1.4880000000000002,2.0,16.679000000000002,0.175
,1274-1204-1,3410640882737635200,0.1193,0.9894,39.33,1.053,8.0,19.279,0.204
18018.0,,66482348530642176,0.0164,0.9994,34.42,1.0070000000000001,5.0,24.6,0.165
19862.0,,3312197930211158784,0.0777,0.9944,38.049,1.014,5.0,22.346,0.179
19834.0,,3311492799660064384,0.0672,0.9955,37.867,1.063,5.0,21.135,0.152
21138.0,,3312564033223630720,0.1643,0.9831,40.367,1.022,5.0,22.017,0.174
18327.0,1253-868-1,43538289638888064,0.4857,0.922,36.027,1.008,5.0,24.449,0.156
