C.D.S.  -  SIMBAD4 rel 1.7  -  2018.12.14CET11:29:41

 IdentList
----------

 # 	typed ident	       identifier        	typ	                all types                	     coord1 (ICRS,J2000/2000)
---	-----------	-------------------------	---	-----------------------------------------	-----------------------------------
1  	HIP 18018  	HD 283066                	PM*	*,*,*iC,PM*,PM*,V*,IR,X                  	057.7629790408217 +23.9036506884453
2  	HIP 19862  	HD 285590                	PM*	*,*,*iC,PM*,IR                           	063.8903672286535 +15.7062676548620
3  	HIP 19834  	HD 285625                	PM*	*,*,*iC,PM*,IR                           	063.7933679473315 +14.3984553871487
4  	HIP 21138  	HD 285876                	PM*	*,*,*iC,PM*,IR                           	067.9686342865908 +15.4994814523053
5  	HIP 18327  	HD 285252                	PM*	*,*,*iC,PM*,IR                           	058.7770881684733 +16.9984776944801
6  	HIP 20890  	V* V918 Tau              	BY*	SB*,*,*,*iC,PM*,V*,BY*,IR                	067.1550665277924 +19.7406896359840
7  	HIP 20130  	V* V893 Tau              	BY*	*,*,*iC,PM*,V*,BY*,IR                    	064.7415603280293 +19.9067016030485
8  	HIP 19504  	HD 26345                 	PM*	*,*,*iC,PM*,IR,UV,X                      	062.6765124841719 +18.4232540113373
9  	HIP 19148  	HD 25825                 	PM*	*,*,*iC,PM*,IR,UV                        	061.5671990964311 +15.6981207260114
10 	HIP 20146  	HD 27282                 	PM*	*,*,*iC,PM*,IR,X                         	064.7833669385314 +17.5247551530668
11 	HIP 20350  	HD 27534                 	PM*	*,*,*iC,PM*,IR,UV                        	065.3844515255903 +18.4175836815131
12 	HIP 13976  	V* BZ Cet                	BY*	*,*,*iC,PM*,PM*,V*,BY*,IR,X              	045.0117168821549 +07.7497548423119
13 	HIP 15563  	BD+07 499                	PM*	*,*,*iC,PM*,PM*,IR                       	050.1216463612036 +08.4544500819069
14 	HIP 19207  	HD 285507                	PM*	*,*,*iC,PM*,IR                           	061.7551058869058 +15.3350301185867
15 	HIP 19261  	HD 26015                 	** 	**,*,*,*iC,V*,IR,UV                      	061.92493084 +15.16278500
