RAJ2000_Curtis,DEJ2000_Curtis,2MASS_id_Curtis,PMem_Curtis,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,EPIC_Olivares,dist_Curtis_Olivares,RAJ2000_Curtis_Olivares,DEJ2000_Curtis_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Curtis_Olivares_GaiaC,RAJ2000_Curtis_Olivares_GaiaC,DEJ2000_Curtis_Olivares_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Curtis_Olivares_GaiaC_CG,RAJ2000_Curtis_Olivares_GaiaC_CG,DEJ2000_Curtis_Olivares_GaiaC_CG
288.8588333,-16.099194400000002,191526121605571.0,0.9,,,,,,288.8588333,-16.099194400000002,,,,,,288.8588333,-16.099194400000002,,,,,,288.8588333,-16.099194400000002
289.3493333,-16.0734167,191723841604243.0,0.9,289.349343101,-16.0734300125,0.44494191078934403,219697419.0,0.05870524668317766,289.34933820050003,-16.07342335625,4.183949198935967e+18,289.34934,-16.073539999999998,0.9,0.41996363747972854,289.349338650375,-16.073452517187498,289.3493406942,-16.07354390629,4.183949198935967e+18,1.0,0.32907672787215575,289.34933899101253,-16.07346774870458
289.08191669999997,-16.569277800000002,191619661634094.0,0.9,289.081905752,-16.569294336800002,0.5592533351626011,219511589.0,0.07050643892157414,289.081911226,-16.569286068400004,4.087842738668571e+18,289.0819,-16.56941,0.9,0.4478321243027691,289.0819084195,-16.569317051300004,289.08190109796004,-16.56940881145,4.087842738668571e+18,1.0,0.33130114917129605,289.08190719924335,-16.56933234465834
289.2970833,-16.052277800000002,191711301603082.0,0.9,289.297131619,-16.0522854997,0.203211637617126,219704882.0,0.16944865914212878,289.2971074595,-16.052281649850002,4.184137077986034e+18,289.29713,-16.0524,0.9,0.4331382665762941,289.297113094625,-16.0523112373875,289.29712804554003,-16.05240173619,4.184137077986034e+18,1.0,0.32987615071607007,289.29711558644414,-16.05232632052125
289.1697083,-16.278083300000002,191640731616411.0,0.9,,,,,,289.1697083,-16.278083300000002,,,,,,289.1697083,-16.278083300000002,,,,,,289.1697083,-16.278083300000002
289.2642917,-17.0538333,191703431703138.0,0.9,289.264295056,-17.0538226045,0.44746199888517796,219310397.0,0.04019892552287932,289.264293378,-17.05382795225,4.0877620276431734e+18,289.26429,-17.05394,0.9,0.4035394100999362,289.2642925335,-17.0538559641875,289.26428891036,-17.05393680026,4.0877620276431734e+18,1.0,0.2912769037172324,289.2642919296433,-17.05386943686625
289.656125,-17.2159722,191837471712575.0,0.9,289.656119478,-17.215989689,1.5206322321709892e-293,219239754.0,0.06576151006587844,289.65612223899996,-17.2159809445,4.0847571998085356e+18,289.65612000000004,-17.2161,0.9,0.4286689481745932,289.65612167924996,-17.216010708375,289.65611529458,-17.216101535179998,4.0847571998085356e+18,1.0,0.3277127579714702,289.65612061513826,-17.21602584617583
289.5599583,-16.6896111,191814391641226.0,0.9,289.55998540900003,-16.6896241578,0.5738900611068871,219463296.0,0.10463512122445232,289.5599718545,-16.689617628900002,4.183862715472996e+18,289.55998,-16.68974,0.9,0.4414305116283339,289.559973890875,-16.689648221675,289.5599810224,-16.68973880473,4.183862715472996e+18,1.0,0.32702495565010914,289.5599750794625,-16.689663318850833
288.5113333,-15.901527800000002,191402721554055.0,0.9,288.51137953,-15.901594426700001,0.0709359871859175,219757320.0,0.2883573871407787,288.511356415,-15.901561113350002,4.184200643491197e+18,288.51138,-15.901710000000001,0.9,0.5421763699720551,288.51136231125,-15.901598335012503,288.51137977374003,-15.901708143779997,4.184200643491197e+18,0.7,0.39990819338338396,288.511365221665,-15.901616636473753
288.9637083,-16.29975,191551291617591.0,0.9,288.963741269,-16.299738564800002,0.512964071137054,219614490.0,0.12112797983911197,288.9637247845,-16.2997442824,4.184125807991901e+18,288.96374,-16.29985,0.9,0.38419752196946455,288.963728588375,-16.2997707118,288.96373844617995,-16.29985436141,4.184125807991901e+18,1.0,0.30305882790895083,288.9637302313425,-16.299784653401666
