gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,RAJ2000_Rebull,DEJ2000_Rebull,EPIC_id_Rebull,PMem_Rebull,dist_GaiaC_Rebull,RAJ2000_GaiaC_Rebull,DEJ2000_GaiaC_Rebull,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Rebull_Douglas,RAJ2000_GaiaC_Rebull_Douglas,DEJ2000_GaiaC_Rebull_Douglas,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_GaiaC_Rebull_Douglas_CG,RAJ2000_GaiaC_Rebull_Douglas_CG,DEJ2000_GaiaC_Rebull_Douglas_CG
6.857478143539913e+17,133.15933,21.15502,0.9,,,,,,133.15933,21.15502,,,,,,133.15933,21.15502,,,,,,133.15933,21.15502
6.651411410872987e+17,130.22501,21.756629999999998,0.9,130.225125,21.756694399999997,212086248.0,0.9,0.4489957663698524,130.2250675,21.756662199999997,,,,,,130.2250675,21.756662199999997,,,,,,130.2250675,21.756662199999997
6.652032334311933e+17,129.73385,21.9408,0.9,,,,,,129.73385,21.9408,129.734,21.940855600000003,0.85,0.0,0.539400353064827,129.73389999999998,21.94081853333333,,,,,,129.73389999999998,21.94081853333333
6.649630244999465e+17,130.84386999999998,21.67163,0.9,130.84404170000002,21.6716944,212081702.0,0.9,0.6194495646118413,130.84395585,21.6716622,130.84404170000002,21.6716861,0.97,1.0,0.2998247192838176,130.8439773125,21.671668175,130.8438719477,21.6716331568,6.64963024499947e+17,1.0,0.37436605836484893,130.8439597517,21.671662338633336
6.649762186394793e+17,130.76188,21.75375,0.9,130.76204170000003,21.7537778,212086091.0,0.9,0.549849114690914,130.76196085,21.753763900000003,130.76204170000003,21.753797199999998,0.95,0.0,0.2957206588766907,130.7619810625,21.753772225000002,,,,,,130.7619810625,21.753772225000002
6.650594035661919e+17,131.04538,21.79389,0.9,131.0455417,21.7939722,212088298.0,0.9,0.6162166986584269,131.04546084999998,21.793931100000002,131.0455417,21.7939611,0.88,0.0,0.2910370733399172,131.0454810625,21.7939386,131.0453751315,21.793894260300004,6.65059403566192e+17,0.8,0.3884101644189887,131.04546340733333,21.79393121005
6.648796677748086e+17,131.18412,21.12032,0.9,,,,,,131.18412,21.12032,131.18425,21.1203889,0.99,0.0,0.5021061125742826,131.18416333333334,21.120342966666666,131.1841152015,21.1203231949,6.64879667774809e+17,0.9,0.17661323099603782,131.18415370696667,21.12033901231333
6.649424043611496e+17,130.43077,21.49727,0.9,130.430875,21.4973333,212072268.0,0.9,0.41907666902295065,130.43082249999998,21.49730165,130.4309167,21.4973306,0.96,0.0,0.33229561463298435,130.43084604999999,21.4973088875,,,,,,130.43084604999999,21.4973088875
6.648982563932087e+17,130.90226,21.31932,0.9,,,,,,130.90226,21.31932,130.9024167,21.3193778,0.94,0.0,0.565212171352835,130.90231223333333,21.31933926666667,130.9022647957,21.3193236099,6.64898256393209e+17,0.7,0.1687787770333238,130.90230274580668,21.319336135313335
6.650542839651822e+17,131.76754,22.27371,0.9,,,,,,131.76754,22.27371,131.7676667,22.273772199999996,0.88,0.0,0.47780404209559046,131.76758223333334,22.273730733333334,,,,,,131.76758223333334,22.273730733333334
6.649229567491657e+17,130.43042,21.36165,0.9,,,,,,130.43042,21.36165,130.4305833,21.3617222,0.97,0.0,0.606058037979735,130.43047443333333,21.361674066666666,,,,,,130.43047443333333,21.361674066666666
6.649098313310506e+17,131.22409,21.619120000000002,0.9,,,,,,131.22409,21.619120000000002,,,,,,131.22409,21.619120000000002,,,,,,131.22409,21.61912
6.649230641233087e+17,130.60846,21.23079,0.9,,,,,,130.60846,21.23079,130.6083333,21.2308417,0.94,0.0,0.46411639134608496,130.60841776666666,21.230807233333334,130.6084630132,21.2307862489,6.64923064123309e+17,1.0,0.16958748642797658,130.60842681597333,21.230803036446666
6.649230641233084e+17,130.6081,21.23078,0.9,,,,,,130.6081,21.23078,,,,,,130.6081,21.23078,130.6081015096,21.230777116800002,6.64923064123308e+17,0.7,0.011549713632088832,130.6081003774,21.2307792792
6.64914164952043e+17,131.13565,21.683020000000003,0.9,131.13579170000003,21.6831389,212082288.0,0.9,0.6386843834508283,131.13572085,21.68307945,131.13579170000003,21.6830889,0.94,0.0,0.23944149961308758,131.13573856250002,21.6830818125,131.135647592,21.6830155367,6.64914164952043e+17,0.7,0.38670119506102113,131.13572340075004,21.683070766533334
6.649098356250083e+17,131.22427,21.61844,0.9,131.22445829999998,21.6184722,212078811.0,0.9,0.6407690966315497,131.22436414999999,21.6184561,131.2244167,21.618497199999997,0.96,0.0,0.22983330938372712,131.22437728749998,21.618466374999997,131.2242738386,21.618438824800002,6.64909835625008e+17,0.9,0.36014547296829774,131.22436004601664,21.618461783299995
6.65212510560537e+17,129.83863,22.08897,0.9,129.8387917,22.089083300000002,212103507.0,0.9,0.6762474894385972,129.83871084999998,22.08902665,129.8387917,22.0890583,0.95,0.0,0.2927771344710789,129.8387310625,22.089034562500004,,,,,,129.8387310625,22.089034562500004
6.650047028616163e+17,131.36626,21.65353,0.9,131.3664167,21.6535556,212080687.0,0.9,0.5323492455568061,131.36633835,21.6535428,131.366375,21.6535583,0.98,0.0,0.1347277830633617,131.3663475125,21.653546675,131.3662648112,21.6535300483,6.65004702861616e+17,1.0,0.2831145993527424,131.36633372895,21.65354390388333
6.651396979782592e+17,130.13096000000002,21.67848,0.9,,,,,,130.13096000000002,21.67848,,,,,,130.13096000000002,21.67848,,,,,,130.13096000000002,21.678479999999997
