id_N,RAJ2000_N,DEJ2000_N,gaia_id_Gao,RAJ2000_Gao,DEJ2000_Gao,PMem_Gao,dist_N_Gao,RAJ2000_N_Gao,DEJ2000_N_Gao,EPIC_id_Gonzalez,PMem_Gonzalez,RAJ2000_Gonzalez,DEJ2000_Gonzalez,binary,dist_N_Gao_Gonzalez,RAJ2000_N_Gao_Gonzalez,DEJ2000_N_Gao_Gonzalez
11.0,132.96195,11.473325,,,,,,132.96195,11.473325,211389426.0,0.1,132.961953,11.473467999999999,0.0,0.5149087928725113,132.961951,11.473372666666668
14.0,132.74213,11.473428,5.98889213257786e+17,132.74209986366,11.4735284208,0.982,0.37682562898772376,132.74211493183,11.4734782104,211389428.0,0.9,132.742179,11.473550999999999,0.0,0.3460617624824609,132.7421309488725,11.473496407799999
20.0,132.73422,11.475366,5.988894194162176e+17,132.73418094764,11.47544367187,0.996,0.31172015740938097,132.73420047382,11.475404835934999,211389537.0,0.9,132.734254,11.475449000000001,0.0,0.2468591518723432,132.734213855365,11.47541587695125
28.0,132.73256,11.478913,,,,,,132.73256,11.478913,,,,,,,132.73256,11.478913
31.0,132.49665,11.478087,5.989007881943425e+17,132.49664610473,11.47819626526,0.966,0.3935949219556464,132.496648052365,11.478141632629999,211389716.0,0.9,132.496687,11.478209,0.0,0.2787435286553421,132.49665778927374,11.4781584744725
45.0,132.54849,11.481701,5.989001052948745e+17,132.54846343615,11.481838792349999,0.998,0.5048274506372895,132.548476718075,11.481769896174999,211389931.0,0.9,132.54853300000002,11.481864,0.0,0.39267520206224743,132.54849078855625,11.48179342213125
49.0,132.49941,11.482163,,,,,,132.49941,11.482163,211389952.0,0.1,132.499494,11.482348,0.0,0.7289568373307983,132.49943800000003,11.482224666666667
50.0,132.85736,11.484597,,,,,,132.85736,11.484597,211390081.0,0.5,132.857444,11.484594,0.0,0.2965421612355495,132.857388,11.484596000000002
57.0,132.87666000000002,11.48763,,,,,,132.87666000000002,11.48763,211390273.0,0.5,132.876671,11.487788,0.0,0.5701222682977449,132.87666366666667,11.487682666666666
60.0,132.43408,11.485798,5.988980737750108e+17,132.4340912156,11.48594039792,0.99,0.5141572578472259,132.4340856078,11.48586919896,211390158.0,0.9,132.43413600000002,11.485958,0.0,0.3657909739156359,132.43409820585,11.485891399219998
62.0,132.84831,11.488744,6.048909275426181e+17,132.84828342116,11.488843854230002,0.7709999999999999,0.37150320099740636,132.84829671058,11.488793927115001,211390337.0,0.5,132.848318,11.488922,0.0,0.4671396750775877,132.848302032935,11.488825945336252
77.0,132.62278,11.49258,,,,,,132.62278,11.49258,211390572.0,0.1,132.623006,11.492836,0.0,1.2186113906706597,132.62285533333332,11.492665333333335
79.0,132.54186,11.493002,5.98900478956925e+17,132.54183463605,11.49315201296,0.977,0.5474093010049816,132.54184731802502,11.49307700648,211390587.0,0.5,132.541922,11.493210000000001,0.0,0.5464800765175384,132.54186598851877,11.49311025486
96.0,132.90183000000002,11.500884,,,,,,132.90183000000002,11.500884,211391058.0,0.5,132.901865,11.500919999999999,0.0,0.17900008338891094,132.90184166666668,11.500896
100.0,132.81165,11.501751,,,,,,132.81165,11.501751,,,,,,,132.81165,11.501751
105.0,132.63271,11.50201,5.989017889220417e+17,132.632665411,11.50209389643,0.999,0.3405329185590286,132.63268770550002,11.502051948215001,211391125.0,0.9,132.632722,11.502091,0.0,0.1854747949375076,132.632696279125,11.502061711161252
108.0,132.6195,11.503135,,,,,,132.6195,11.503135,,,,,,,132.6195,11.503135
109.0,132.62398000000002,11.503371,5.98901784626987e+17,132.62393744476998,11.503484155499999,0.998,0.4341410693591703,132.623958722385,11.50342757775,211391208.0,0.9,132.623992,11.503514,0.0,0.3325309358006483,132.62396704178875,11.503449183312497
112.0,132.66575,11.50499,5.988901066109923e+17,132.66570893521,11.50508662013,1.0,0.37679261236842476,132.665729467605,11.505038310065,211391297.0,0.9,132.665719,11.505111,0.0,0.26427625353872186,132.66572685070375,11.50505648254875
117.0,132.9542,11.50736,,,,,,132.9542,11.50736,211391435.0,0.5,132.954192,11.507458999999999,0.0,0.3575155798644911,132.95419733333333,11.507393
125.0,132.75906,11.509647,,,,,,132.75906,11.509647,211391564.0,0.9,132.75913799999998,11.509701,0.0,0.3368987295420737,132.759086,11.509664999999998
127.0,132.78847,11.510606,6.048941960135263e+17,132.78842925746,11.51067428757,0.988,0.2847653957322872,132.78844962873,11.510640143785,211391621.0,0.9,132.78845,11.510675,0.0,0.12548920859823037,132.78844972154752,11.510648857838751
128.0,132.42671,11.508617999999998,,,,,,132.42671,11.508617999999998,211391516.0,0.1,132.426759,11.508772,0.0,0.5807216635987253,132.42672633333333,11.508669333333332
133.0,132.48883999999998,11.510013,,,,,,132.48883999999998,11.510013,211391586.0,0.5,132.488904,11.510206,0.0,0.7305597663442631,132.48886133333332,11.510077333333333
137.0,132.72673,11.512656,,,,,,132.72673,11.512656,211391770.0,0.5,132.726725,11.512747000000001,0.0,0.3280744636751333,132.72672833333334,11.512686333333335
139.0,132.74837,11.513654,,,,,,132.74837,11.513654,,,,,,,132.74837,11.513654
159.0,132.73005,11.520668,5.988903814888891e+17,132.73002027228,11.52070434613,1.0,0.1676814658050695,132.73003513614,11.520686173065,211392234.0,0.9,132.73006,11.520703,0.0,0.10659268367873741,132.730041352105,11.520690379798749
164.0,132.72106000000002,11.522206,5.988903471291511e+17,132.7210244276,11.52225079392,1.0,0.2043266418170485,132.72104221380002,11.52222839696,211392354.0,0.9,132.721068,11.522252,1.0,0.12447368391151649,132.72104866035,11.522234297719999
165.0,132.80968,11.523758,6.048943291567209e+17,132.8096520666,11.52385407546,0.992,0.3596331173889429,132.8096660333,11.523806037730001,211392455.0,0.9,132.809724,11.523882,0.0,0.3414557872719411,132.809680524975,11.523825028297502
169.0,132.88443,11.525902,,,,,,132.88443,11.525902,211392568.0,0.5,132.88433799999999,11.525942,0.0,0.35503518157815195,132.88439933333333,11.525915333333336
178.0,132.89838999999998,11.529721,6.048915846733893e+17,132.89836023693002,11.5297634021,0.991,0.18526498654391313,132.898375118465,11.52974220105,211392789.0,0.9,132.89841,11.529765,1.0,0.14790282247292108,132.89838383884876,11.5297479007875
187.0,132.64323000000002,11.53051,5.989019950798717e+17,132.64318819033002,11.53061457458,0.998,0.40432416913639896,132.64320909516502,11.53056228729,211392859.0,0.9,132.643239,11.530636999999999,0.0,0.2889110491135751,132.64321657137376,11.5305809654675
194.0,132.3867,11.530417,,,,,,132.3867,11.530417,211392855.0,0.1,132.38683999999998,11.530562,0.0,0.7185753948257001,132.38674666666665,11.530465333333334
195.0,132.92646000000002,11.535266,6.048915503136447e+17,132.92644926526,11.53529923399,1.0,0.12549109819239146,132.92645463263,11.535282616995,211393129.0,0.9,132.926501,11.535303,0.0,0.17925784473524048,132.9264662244725,11.53528771274625
197.0,132.38146,11.532458,,,,,,132.38146,11.532458,211392983.0,0.1,132.381632,11.532741,0.0,1.185764380334805,132.38151733333333,11.532552333333333
208.0,132.80516,11.540195,6.048945353151525e+17,132.80513039256002,11.54026553329,0.953,0.27455663484641246,132.80514519628002,11.540230266645,211393422.0,0.9,132.805199,11.540296000000001,0.0,0.3033382984917554,132.80515864721002,11.54024669998375
211.0,132.54887,11.540205,,,,,,132.54887,11.540205,211393420.0,0.1,132.548815,11.540262,0.0,0.2823862634113922,132.54885166666665,11.540224
227.0,132.46746000000002,11.546608,,,,,,132.46746000000002,11.546608,,,,,,,132.46746000000002,11.546608
228.0,132.85805,11.549984,6.048947071138327e+17,132.85802657447,11.550009523629999,1.0,0.12357033228529667,132.858038287235,11.549996761814999,211394056.0,0.9,132.858071,11.550008,0.0,0.12226870265533675,132.85804646542624,11.54999957136125
230.0,132.83953,11.551969,6.048947457693272e+17,132.83949493739,11.552022779660001,1.0,0.2297334988660189,132.83951246869498,11.55199588983,211394185.0,0.9,132.839537,11.552024000000001,0.0,0.1331432243741015,132.83951860152123,11.552002917372501
231.0,132.74652,11.551466,,,,,,132.74652,11.551466,211394147.0,0.1,132.746472,11.551503,0.0,0.21541754301045923,132.746504,11.551478333333334
232.0,132.88965,11.552429,,,,,,132.88965,11.552429,211394218.0,0.1,132.889702,11.552461,0.0,0.21658580728002472,132.88966733333334,11.552439666666666
234.0,132.71071,11.5525,,,,,,132.71071,11.5525,,,,,,,132.71071,11.5525
235.0,132.76379,11.553261,,,,,,132.76379,11.553261,211394279.0,0.9,132.763827,11.553339,0.0,0.30964367570428697,132.76380233333333,11.553287
236.0,132.46903999999998,11.551516,,,,,,132.46903999999998,11.551516,211394170.0,0.1,132.468948,11.551774,0.0,0.9838516739434484,132.46900933333333,11.551602
237.0,132.71264,11.553044,,,,,,132.71264,11.553044,211394262.0,0.1,132.712637,11.553122,0.0,0.2809992909719577,132.712639,11.55307
