object,ra,dec,k2campaign,fpa_module,Vmag,Jmag,Hmag,Kmag,ndet,best_aperture_im,best_aperture_ep,best_aperture_tf,bestaper_lcurl,full_lcurl,plot_bestaper_IMLC,plot_bestaper_EPLC,plot_bestaper_TFLC
2MASS J06062159+2347579,91.589936,23.79944,0,24,16.104,12.951,12.302,12.06,356,0,0,0,http://k2.hatsurveys.org/archive/K2.0/module-24/06062159+2347579-da6749da3cc4a5e4ee005b1548d00ac5a8d9314c0e3ba9a9d203e02c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06062159+2347579-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06062159+2347579-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06062159+2347579-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06062159+2347579-24-TF-bestaper-k2lc.png
2MASS J06062325+2337328,91.596872,23.625782,0,24,11.735,10.848,10.602,10.554,1384,8,0,8,http://k2.hatsurveys.org/archive/K2.0/module-24/06062325+2337328-3085d4a9724256aea56e58b444d3e0c71fa844014900533dc8b17fd9-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06062325+2337328-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06062325+2337328-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06062325+2337328-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06062325+2337328-24-TF-bestaper-k2lc.png
2MASS J06062701+2406261,91.612579,24.107266,0,24,14.617,12.713,12.335,12.198,535,2,0,2,http://k2.hatsurveys.org/archive/K2.0/module-24/06062701+2406261-08da6da68e3b34e20710af3af9da7415253ce49d848fff3746c7843c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06062701+2406261-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06062701+2406261-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06062701+2406261-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06062701+2406261-24-TF-bestaper-k2lc.png
2MASS J06063346+2346270,91.639437,23.774178,0,24,9.943,9.668,9.645,9.597,1386,8,7,8,http://k2.hatsurveys.org/archive/K2.0/module-24/06063346+2346270-7354e16033de5e9706b6ddf078273b37fe247840d956157f08678b0e-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063346+2346270-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063346+2346270-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063346+2346270-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063346+2346270-24-TF-bestaper-k2lc.png
2MASS J06063506+2346199,91.646107,23.772204,0,24,None,12.589,12.249,12.186,1387,4,0,4,http://k2.hatsurveys.org/archive/K2.0/module-24/06063506+2346199-74163a1794fe4aff040df78eb6ad1e02051259bda8b64ac18b2c9bc4-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063506+2346199-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063506+2346199-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063506+2346199-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063506+2346199-24-TF-bestaper-k2lc.png
2MASS J06063703+2418383,91.654316,24.310656,0,24,12.753,11.784,11.725,11.632,344,0,0,0,http://k2.hatsurveys.org/archive/K2.0/module-24/06063703+2418383-da6749da3cc4a5e4ee005b1548d00ac5a8d9314c0e3ba9a9d203e02c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063703+2418383-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063703+2418383-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063703+2418383-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063703+2418383-24-TF-bestaper-k2lc.png
2MASS J06063844+2325451,91.660177,23.42921,0,24,15.161,12.204,11.535,11.334,570,1,0,1,http://k2.hatsurveys.org/archive/K2.0/module-24/06063844+2325451-7d1499286246d216cd1c77a229d5c0562275676ad0b3343fc664ad30-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063844+2325451-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063844+2325451-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063844+2325451-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063844+2325451-24-TF-bestaper-k2lc.png
2MASS J06063858+2417096,91.660747,24.286012,0,24,None,13.053,12.723,12.625,526,0,0,0,http://k2.hatsurveys.org/archive/K2.0/module-24/06063858+2417096-da6749da3cc4a5e4ee005b1548d00ac5a8d9314c0e3ba9a9d203e02c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063858+2417096-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063858+2417096-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063858+2417096-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063858+2417096-24-TF-bestaper-k2lc.png
2MASS J06063873+2426592,91.661364,24.449797,0,24,14.7,12.32,11.663,11.471,1386,2,0,2,http://k2.hatsurveys.org/archive/K2.0/module-24/06063873+2426592-08da6da68e3b34e20710af3af9da7415253ce49d848fff3746c7843c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063873+2426592-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063873+2426592-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063873+2426592-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063873+2426592-24-TF-bestaper-k2lc.png
2MASS J06063936+2427003,91.664031,24.450096,0,24,None,13.93,13.586,13.454,344,4,0,4,http://k2.hatsurveys.org/archive/K2.0/module-24/06063936+2427003-74163a1794fe4aff040df78eb6ad1e02051259bda8b64ac18b2c9bc4-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063936+2427003-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063936+2427003-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063936+2427003-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063936+2427003-24-TF-bestaper-k2lc.png
